Samples	SBS96A	SBS96B	SBS96C
TCGA-49-4506	1.13E+00	1.11E+00	3.98E-01
TCGA-49-4507	1.53E+00	1.47E+00	1.13E+00
TCGA-49-4510	6.69E-01	6.21E-01	3.23E-01
TCGA-49-4512	3.69E-01	5.68E-01	4.69E-01
TCGA-49-4514	2.36E+00	2.33E+00	1.35E+00
TCGA-49-6742	8.05E-01	1.70E+00	1.80E+00
TCGA-49-6743	4.68E+00	4.56E+00	1.70E+00
TCGA-49-6744	2.57E+00	2.68E+00	5.64E-01
TCGA-49-6745	4.58E-01	1.15E+00	1.13E+00
TCGA-49-6761	1.41E+00	1.10E+00	1.20E+00
TCGA-49-6767	4.53E+00	4.57E+00	9.50E-01
TCGA-49-AAQV	3.61E-01	7.03E-01	6.95E-01
TCGA-49-AAR0	1.36E+00	1.37E+00	7.74E-01
TCGA-49-AAR2	3.67E+00	3.64E+00	6.57E-01
TCGA-49-AAR3	1.17E+00	1.25E+00	5.45E-01
TCGA-49-AAR4	4.49E+00	4.52E+00	1.59E+00
TCGA-49-AAR9	6.49E+00	6.50E+00	9.80E-01
TCGA-49-AARE	1.13E+01	1.12E+01	1.64E+00
TCGA-49-AARN	3.22E+00	2.69E+00	3.06E+00
TCGA-49-AARO	6.10E+00	6.34E+00	9.85E-01
TCGA-49-AARQ	6.16E+00	6.04E+00	1.67E+00
TCGA-49-AARR	1.06E-01	1.08E-01	3.00E-02
TCGA-4B-A93V	1.41E+00	1.34E+00	6.41E-01
TCGA-50-5044	7.00E-01	9.49E-01	1.03E+00
TCGA-50-5045	3.08E+00	3.17E+00	6.21E-01
TCGA-50-5049	7.83E+00	8.13E+00	1.10E+00
TCGA-50-5051	9.54E-01	9.55E-01	4.57E-01
TCGA-50-5055	2.00E-02	2.56E-01	2.58E-01
TCGA-50-5066	5.77E+00	5.65E+00	1.24E+00
TCGA-50-5068	7.44E-01	8.41E-01	5.05E-01
TCGA-50-5072	1.49E+00	1.48E+00	7.44E-01
TCGA-50-5930	1.08E+01	1.12E+01	1.15E+00
TCGA-50-5931	2.45E+00	2.53E+00	7.87E-01
TCGA-50-5932	9.40E-01	9.34E-01	3.29E-01
TCGA-50-5933	4.50E+00	4.34E+00	1.35E+00
TCGA-50-5935	0.00E+00	7.63E-01	7.64E-01
TCGA-50-5936	8.61E-01	1.06E+00	9.55E-01
TCGA-50-5939	5.39E-01	7.97E-01	6.84E-01
TCGA-50-5941	3.61E+00	3.60E+00	9.94E-01
TCGA-50-5942	6.84E-01	7.08E-01	2.32E-01
TCGA-50-5944	4.83E-01	6.36E-01	5.56E-01
TCGA-50-5946	8.12E+00	7.57E+00	2.64E+00
TCGA-50-6590	7.41E+00	7.27E+00	2.20E+00
TCGA-50-6591	4.45E-01	6.97E-01	5.49E-01
TCGA-50-6592	2.05E+00	1.90E+00	1.19E+00
TCGA-50-6593	2.63E+00	2.59E+00	7.75E-01
TCGA-50-6594	4.42E+00	4.49E+00	1.02E+00
TCGA-50-6595	7.71E-01	9.87E-01	7.92E-01
TCGA-50-6597	2.17E-01	7.19E-01	7.13E-01
TCGA-50-6673	5.81E-01	5.69E-01	4.42E-01
TCGA-50-7109	2.26E+00	2.24E+00	6.05E-01
TCGA-50-8457	5.88E-01	6.30E-01	5.02E-01
TCGA-50-8459	9.45E-01	9.69E-01	4.32E-01
TCGA-50-8460	2.43E-01	4.81E-01	4.51E-01
TCGA-53-7624	5.85E+00	6.07E+00	1.67E+00
