Samples	SBS96A	SBS96B	SBS96C
TCGA-97-8172	2.15E+00	2.10E+00	4.93E-01
TCGA-97-8174	1.34E+00	1.59E+00	9.28E-01
TCGA-97-8175	5.06E-01	6.57E-01	3.06E-01
TCGA-97-8176	1.01E+00	9.28E-01	9.11E-01
TCGA-97-8177	3.19E-01	4.72E-01	3.83E-01
TCGA-97-8179	1.77E+00	1.80E+00	5.61E-01
TCGA-97-8547	3.16E-01	6.83E-01	7.20E-01
TCGA-97-8552	2.61E-01	3.67E-01	2.81E-01
TCGA-97-A4LX	1.83E+00	1.81E+00	4.32E-01
TCGA-97-A4M0	3.37E+00	3.40E+00	1.29E+00
TCGA-97-A4M1	4.22E-01	5.31E-01	4.60E-01
TCGA-97-A4M2	4.02E-01	5.31E-01	3.59E-01
TCGA-97-A4M3	1.55E+00	1.53E+00	7.18E-01
TCGA-97-A4M5	5.69E-01	8.99E-01	1.02E+00
TCGA-97-A4M6	0.00E+00	3.47E-01	3.48E-01
TCGA-97-A4M7	2.90E+00	2.88E+00	6.79E-01
TCGA-99-7458	4.39E+00	4.57E+00	8.40E-01
TCGA-99-8025	2.65E+00	2.46E+00	1.69E+00
TCGA-99-8028	4.62E+00	4.70E+00	6.95E-01
TCGA-99-8032	3.56E+00	3.41E+00	1.00E+00
TCGA-99-8033	1.42E+00	1.45E+00	7.03E-01
TCGA-99-AA5R	9.98E-01	1.01E+00	1.85E-01
TCGA-J2-8192	3.90E-01	7.19E-01	6.81E-01
TCGA-J2-8194	1.38E+00	1.32E+00	5.73E-01
TCGA-J2-A4AD	1.53E+00	1.77E+00	1.57E+00
TCGA-J2-A4AE	8.36E-02	5.39E-01	5.36E-01
TCGA-J2-A4AG	8.81E-01	9.42E-01	4.56E-01
TCGA-L4-A4E5	3.04E+00	3.12E+00	6.57E-01
TCGA-L4-A4E6	3.32E-01	2.88E-01	2.85E-01
TCGA-L9-A443	2.45E+00	2.55E+00	7.11E-01
TCGA-L9-A444	5.24E+00	5.41E+00	9.39E-01
TCGA-L9-A50W	2.96E-01	4.52E-01	3.74E-01
TCGA-L9-A5IP	2.57E+00	2.81E+00	8.22E-01
TCGA-L9-A743	1.04E+00	9.47E-01	7.54E-01
TCGA-L9-A7SV	1.46E+01	1.52E+01	1.63E+00
TCGA-L9-A8F4	6.80E+00	7.00E+00	1.46E+00
TCGA-MN-A4N1	3.99E+00	3.82E+00	9.68E-01
TCGA-MN-A4N4	1.08E+01	1.08E+01	2.54E+00
TCGA-MN-A4N5	3.50E+00	3.47E+00	1.01E+00
TCGA-MP-A4SV	2.11E+00	1.96E+00	1.34E+00
TCGA-MP-A4SW	4.28E-01	7.85E-01	7.25E-01
TCGA-MP-A4SY	1.32E+00	1.19E+00	8.48E-01
TCGA-MP-A4T4	3.29E+00	3.20E+00	9.36E-01
TCGA-MP-A4T6	2.10E-01	7.49E-01	7.41E-01
TCGA-MP-A4T7	1.25E+00	1.29E+00	4.41E-01
TCGA-MP-A4T8	9.32E-01	1.03E+00	4.94E-01
TCGA-MP-A4T9	5.24E-01	5.76E-01	4.00E-01
TCGA-MP-A4TA	2.90E+00	2.88E+00	1.00E+00
TCGA-MP-A4TC	2.35E+00	2.24E+00	6.96E-01
TCGA-MP-A4TD	6.94E-01	7.40E-01	3.36E-01
TCGA-MP-A4TE	1.11E+00	1.07E+00	3.34E-01
TCGA-MP-A4TF	3.83E+00	3.87E+00	8.89E-01
TCGA-MP-A4TH	1.07E+00	1.07E+00	3.87E-01
TCGA-MP-A4TI	1.13E+00	1.41E+00	1.27E+00
TCGA-MP-A4TJ	9.01E-01	9.23E-01	3.65E-01
TCGA-MP-A4TK	3.10E+00	3.22E+00	1.02E+00
TCGA-MP-A5C7	6.51E-01	6.68E-01	3.53E-01
TCGA-NJ-A4YF	6.07E+00	6.29E+00	9.77E-01
TCGA-NJ-A4YG	1.10E+00	1.09E+00	8.20E-01
TCGA-NJ-A4YI	3.44E+00	3.28E+00	8.31E-01
TCGA-NJ-A4YP	2.21E+00	2.23E+00	1.91E+00
TCGA-NJ-A4YQ	1.05E+01	1.06E+01	1.22E+00
TCGA-NJ-A55A	1.17E+00	1.24E+00	4.20E-01
TCGA-NJ-A55O	1.62E+00	1.58E+00	4.52E-01
TCGA-NJ-A55R	2.39E+00	2.54E+00	6.39E-01
TCGA-NJ-A7XG	3.76E-01	4.14E-01	1.46E-01
TCGA-O1-A52J	1.37E+00	1.52E+00	5.89E-01
TCGA-S2-AA1A	1.34E+00	1.38E+00	3.91E-01
