Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-86-8054	149	15	0	14	29	19	23	27
TCGA-86-8055	0	1	19	3	0	0	31	11
TCGA-86-8056	57	12	0	172	41	0	27	33
TCGA-86-8073	871	334	266	110	112	80	37	47
TCGA-86-8074	8	4	0	2	23	2	13	27
TCGA-86-8075	0	1	11	6	0	14	27	3
TCGA-86-8076	0	9	0	23	28	1	23	0
TCGA-86-8278	0	0	0	113	0	3	20	9
TCGA-86-8279	360	86	0	21	0	131	24	17
TCGA-86-8280	0	2	0	1	39	2	11	0
TCGA-86-8281	63	65	75	44	9	50	32	0
TCGA-86-8358	443	191	569	37	20	0	80	41
TCGA-86-8359	61	21	73	11	0	0	20	15
TCGA-86-8585	166	83	265	132	0	55	13	0
TCGA-86-8668	7	0	0	4	0	1	27	8
TCGA-86-8669	5	16	77	12	29	0	29	2
TCGA-86-8671	3	0	0	12	14	1	14	3
TCGA-86-8672	91	61	0	41	130	0	31	24
TCGA-86-8673	184	74	92	45	130	44	11	27
TCGA-86-8674	204	60	0	43	0	28	17	34
TCGA-86-A456	134	76	105	36	18	46	16	23
TCGA-86-A4JF	124	116	0	151	0	768	466	29
TCGA-86-A4P7	0	0	14	27	21	6	17	0
TCGA-86-A4P8	0	0	0	0	2	0	0	0
TCGA-91-6828	298	106	0	55	154	17	48	24
TCGA-91-6829	144	124	219	49	192	69	7	19
TCGA-91-6830	0	36	39	240	0	30	1	0
TCGA-91-6831	110	30	0	9	118	60	19	0
TCGA-91-6835	36	6	0	21	0	40	10	3
TCGA-91-6836	243	148	75	27	73	42	39	8
TCGA-91-6840	3	34	27	87	0	7	20	0
TCGA-91-6847	8	21	0	18	15	16	41	3
TCGA-91-6848	179	122	187	112	84	90	5	6
TCGA-91-6849	50	29	11	7	34	11	7	8
TCGA-91-7771	40	25	0	18	108	22	7	31
TCGA-91-8496	0	1	9	4	7	1	20	0
TCGA-91-8497	2	3	0	3	29	0	16	3
TCGA-91-8499	84	38	22	110	68	30	30	15
TCGA-91-A4BC	266	71	85	24	42	20	42	13
TCGA-91-A4BD	0	0	0	2	0	11	11	3
TCGA-93-7347	39	24	15	10	35	16	7	0
TCGA-93-7348	78	19	0	33	0	61	48	32
TCGA-93-8067	40	27	9	523	0	0	39	37
TCGA-93-A4JN	0	7	19	13	9	7	26	17
TCGA-93-A4JO	1	1	4	14	14	24	8	0
TCGA-93-A4JP	17	0	0	26	0	11	16	13
TCGA-93-A4JQ	0	0	27	65	0	50	3	0
TCGA-95-7039	613	281	413	74	0	120	45	74
TCGA-95-7043	667	239	51	62	264	6	68	0
TCGA-95-7562	283	73	0	8	53	17	32	0
TCGA-95-7567	156	112	0	5	0	648	205	21
TCGA-95-7944	10	6	0	237	41	0	7	8
TCGA-95-7947	170	28	0	239	88	82	23	37
TCGA-95-7948	0	1	0	162	0	0	20	1
TCGA-95-8039	13	10	0	21	12	29	21	12
TCGA-95-8494	7	1	0	67	0	1	35	22
TCGA-95-A4VK	146	43	0	6	72	0	40	11
TCGA-95-A4VN	312	70	58	46	63	13	21	9
TCGA-95-A4VP	13	22	101	3	0	9	12	1
TCGA-97-7546	100	62	106	13	44	14	16	0
TCGA-97-7547	26	29	93	64	0	0	22	0
TCGA-97-7552	0	3	12	0	0	9	22	8
TCGA-97-7553	10	4	0	2	16	0	19	0
TCGA-97-7554	299	59	0	16	94	49	33	24
TCGA-97-7937	202	108	80	31	72	23	48	0
TCGA-97-7938	142	88	152	58	0	41	25	0
TCGA-97-7941	56	7	0	18	0	13	22	7
TCGA-97-8171	7	2	0	0	22	8	34	0
TCGA-97-8172	55	48	157	1	4	0	49	17
TCGA-97-8174	75	25	0	30	18	26	39	0
TCGA-97-8175	7	0	0	2	21	0	7	4
TCGA-97-8176	20	16	14	54	55	0	25	14
TCGA-97-8177	0	1	0	5	13	9	10	10
TCGA-97-8179	110	19	0	11	51	12	3	3
TCGA-97-8547	4	2	0	16	0	10	27	12
TCGA-97-8552	3	1	0	1	8	7	9	0
TCGA-97-A4LX	71	22	93	6	0	21	0	6
TCGA-97-A4M0	199	59	6	76	60	84	2	14
TCGA-97-A4M1	10	2	0	13	0	0	26	4
TCGA-97-A4M2	0	0	18	9	0	0	5	0
TCGA-97-A4M3	125	33	0	31	0	37	18	7
TCGA-97-A4M5	4	8	0	136	0	0	15	30
TCGA-97-A4M6	4	0	0	5	0	17	7	9
TCGA-97-A4M7	182	64	69	15	0	21	20	14
TCGA-99-7458	230	89	70	16	104	72	10	3
TCGA-99-8025	134	58	72	161	48	67	56	9
TCGA-99-8028	292	73	83	11	0	86	0	0
TCGA-99-8032	165	76	113	34	52	8	43	1
TCGA-99-8033	59	29	21	10	62	10	22	10
TCGA-99-AA5R	7	11	54	0	0	0	0	1
TCGA-J2-8192	3	0	11	9	24	16	28	1
TCGA-J2-8194	4	17	114	8	3	0	37	9
TCGA-J2-A4AD	68	17	58	174	0	92	11	0
TCGA-J2-A4AE	0	0	17	14	5	4	19	3
TCGA-J2-A4AG	36	13	0	7	23	7	28	0
TCGA-L4-A4E5	165	66	122	11	0	8	19	30
TCGA-L4-A4E6	0	5	9	6	0	0	1	0
TCGA-L9-A443	91	42	66	12	57	21	5	13
TCGA-L9-A444	322	118	68	15	136	0	22	20
TCGA-L9-A50W	6	0	0	6	7	0	6	11
TCGA-L9-A5IP	79	57	173	21	0	5	12	7
TCGA-L9-A743	23	20	31	69	0	20	6	0
TCGA-L9-A7SV	907	433	546	57	0	32	54	0
TCGA-L9-A8F4	445	114	45	73	192	82	12	10
TCGA-MN-A4N1	239	84	11	30	141	24	50	10
TCGA-MN-A4N4	762	246	218	424	64	57	53	56
TCGA-MN-A4N5	239	87	0	45	65	79	17	33
TCGA-MP-A4SV	97	36	0	147	104	28	23	6
TCGA-MP-A4SW	3	3	0	11	23	3	40	4
TCGA-MP-A4SY	18	12	52	24	86	8	18	0
TCGA-MP-A4T4	151	91	77	32	53	49	16	17
TCGA-MP-A4T6	0	1	0	23	40	0	27	3
TCGA-MP-A4T7	64	31	20	3	12	0	19	11
TCGA-MP-A4T8	3	29	67	9	0	10	18	14
TCGA-MP-A4T9	0	5	7	10	19	0	3	2
TCGA-MP-A4TA	89	59	158	35	11	75	27	2
TCGA-MP-A4TC	113	52	91	28	0	15	15	13
TCGA-MP-A4TD	28	12	0	3	32	7	20	0
TCGA-MP-A4TE	32	22	54	3	0	0	61	2
TCGA-MP-A4TF	239	73	45	22	87	41	18	23
TCGA-MP-A4TH	40	2	12	0	36	15	23	12
TCGA-MP-A4TI	55	16	0	153	0	5	19	70
TCGA-MP-A4TJ	15	11	47	0	0	14	19	9
TCGA-MP-A4TK	141	62	105	65	27	16	6	22
TCGA-MP-A5C7	15	5	24	3	0	26	19	5
TCGA-NJ-A4YF	427	120	26	25	134	23	22	7
TCGA-NJ-A4YG	45	15	9	45	27	14	36	8
TCGA-NJ-A4YI	151	109	153	29	26	45	32	14
TCGA-NJ-A4YP	117	26	7	415	9	0	13	105
TCGA-NJ-A4YQ	475	253	452	24	48	114	8	19
TCGA-NJ-A55A	59	18	12	7	26	19	6	0
TCGA-NJ-A55O	88	17	39	11	0	0	11	0
TCGA-NJ-A55R	153	34	0	12	70	44	7	6
TCGA-NJ-A7XG	0	2	20	0	0	0	20	0
TCGA-O1-A52J	44	46	16	11	48	30	18	0
TCGA-S2-AA1A	62	21	14	3	25	10	9	0
