Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-99-8025	3.53E+00	1.27E+00	3.99E+00	2.18E+00	3.04E+00	2.40E+00	1.52E+00	1.30E+00
TCGA-99-8028	5.96E+00	2.07E+00	5.87E+00	6.68E-01	3.61E+00	2.21E+00	7.45E-01	7.12E-01
TCGA-99-8032	4.45E+00	1.48E+00	4.58E+00	9.18E-01	3.06E+00	2.00E+00	1.05E+00	6.72E-01
TCGA-99-8033	2.52E+00	9.54E-01	2.41E+00	6.50E-01	2.13E+00	1.80E+00	1.00E+00	8.13E-01
TCGA-99-AA5R	1.47E+00	4.72E-01	1.46E+00	1.66E-01	1.15E+00	6.29E-01	5.73E-02	4.16E-01
TCGA-J2-8192	6.83E-01	8.43E-02	1.26E+00	5.30E-01	1.18E+00	1.06E+00	9.13E-01	3.76E-01
TCGA-J2-8194	1.80E+00	5.88E-01	1.80E+00	4.82E-01	1.74E+00	1.27E+00	9.17E-01	8.23E-01
TCGA-J2-A4AD	2.46E+00	6.70E-01	2.64E+00	1.73E+00	2.55E+00	1.88E+00	9.35E-01	1.02E+00
TCGA-J2-A4AE	4.14E-01	0.00E+00	7.27E-01	4.62E-01	6.31E-01	8.30E-01	7.01E-01	4.64E-01
TCGA-J2-A4AG	1.43E+00	5.66E-01	1.68E+00	4.38E-01	1.32E+00	9.35E-01	7.19E-01	3.07E-01
TCGA-L4-A4E5	4.33E+00	1.53E+00	4.58E+00	5.67E-01	2.49E+00	1.37E+00	9.72E-01	1.11E+00
TCGA-L4-A4E6	4.25E-01	1.91E-01	3.35E-01	2.72E-01	3.08E-01	2.01E-01	1.84E-01	4.64E-02
TCGA-L9-A443	3.30E+00	9.03E-01	3.54E+00	6.50E-01	2.63E+00	1.72E+00	6.78E-01	7.27E-01
TCGA-L9-A444	7.75E+00	1.79E+00	8.00E+00	9.41E-01	4.53E+00	1.72E+00	1.12E+00	9.16E-01
TCGA-L9-A50W	4.37E-01	1.12E-01	4.16E-01	3.74E-01	6.20E-01	5.38E-01	3.78E-01	6.27E-01
TCGA-L9-A5IP	3.79E+00	1.33E+00	4.14E+00	8.58E-01	2.64E+00	1.63E+00	8.43E-01	4.51E-01
TCGA-L9-A743	1.57E+00	6.72E-01	1.66E+00	8.23E-01	1.44E+00	1.15E+00	4.34E-01	8.62E-01
TCGA-L9-A7SV	1.75E+01	5.43E+00	1.92E+01	1.62E+00	8.85E+00	4.11E+00	1.72E+00	1.25E+00
TCGA-L9-A8F4	8.37E+00	2.26E+00	8.61E+00	1.49E+00	4.70E+00	3.33E+00	1.28E+00	1.50E+00
TCGA-MN-A4N1	4.30E+00	1.72E+00	4.70E+00	9.49E-01	3.67E+00	2.93E+00	1.33E+00	1.30E+00
TCGA-MN-A4N4	1.20E+01	4.29E+00	1.32E+01	4.04E+00	6.55E+00	3.37E+00	2.05E+00	3.17E+00
TCGA-MN-A4N5	4.59E+00	1.65E+00	5.14E+00	1.11E+00	3.93E+00	2.53E+00	1.13E+00	1.13E+00
TCGA-MP-A4SV	2.52E+00	1.10E+00	2.91E+00	1.50E+00	2.45E+00	2.16E+00	1.20E+00	1.31E+00
TCGA-MP-A4SW	6.29E-01	2.78E-01	8.84E-01	5.49E-01	1.02E+00	6.85E-01	7.88E-01	4.70E-01
TCGA-MP-A4SY	2.17E+00	5.57E-01	2.50E+00	7.87E-01	2.33E+00	1.85E+00	9.01E-01	1.01E+00
TCGA-MP-A4T4	4.75E+00	1.56E+00	4.63E+00	9.15E-01	3.31E+00	1.87E+00	8.84E-01	8.87E-01
TCGA-MP-A4T6	2.67E-01	1.00E-01	7.00E-01	5.99E-01	1.12E+00	9.39E-01	8.06E-01	7.35E-01
TCGA-MP-A4T7	1.82E+00	8.94E-01	1.75E+00	3.63E-01	1.45E+00	7.02E-01	6.90E-01	5.67E-01
TCGA-MP-A4T8	1.59E+00	6.20E-01	1.74E+00	5.29E-01	1.59E+00	1.18E+00	7.80E-01	9.49E-01
TCGA-MP-A4T9	6.31E-01	2.74E-01	7.54E-01	3.80E-01	8.13E-01	5.94E-01	3.25E-01	2.93E-01
TCGA-MP-A4TA	3.77E+00	1.22E+00	3.84E+00	9.16E-01	3.09E+00	2.84E+00	1.06E+00	9.62E-01
TCGA-MP-A4TC	3.48E+00	1.39E+00	3.66E+00	7.40E-01	2.18E+00	1.87E+00	8.08E-01	8.61E-01
TCGA-MP-A4TD	1.38E+00	5.09E-01	1.33E+00	3.18E-01	1.55E+00	9.16E-01	6.32E-01	5.02E-01
TCGA-MP-A4TE	1.92E+00	6.81E-01	1.77E+00	1.93E-01	1.69E+00	1.34E+00	1.01E+00	5.01E-01
TCGA-MP-A4TF	5.03E+00	1.52E+00	5.16E+00	8.82E-01	3.41E+00	2.08E+00	9.82E-01	1.36E+00
TCGA-MP-A4TH	1.61E+00	3.22E-01	1.70E+00	1.33E-01	1.63E+00	1.19E+00	8.50E-01	8.08E-01
TCGA-MP-A4TI	1.78E+00	7.48E-01	1.77E+00	2.14E+00	2.08E+00	9.64E-01	9.14E-01	1.67E+00
TCGA-MP-A4TJ	1.24E+00	4.51E-01	1.48E+00	2.57E-01	1.10E+00	1.35E+00	8.54E-01	6.68E-01
TCGA-MP-A4TK	4.40E+00	1.25E+00	4.74E+00	1.20E+00	2.76E+00	1.47E+00	7.28E-01	9.23E-01
TCGA-MP-A5C7	9.47E-01	3.66E-01	1.23E+00	2.76E-01	9.64E-01	1.09E+00	8.35E-01	5.72E-01
TCGA-NJ-A4YF	7.93E+00	2.48E+00	7.69E+00	9.11E-01	4.68E+00	2.18E+00	1.20E+00	7.27E-01
TCGA-NJ-A4YG	1.76E+00	6.23E-01	1.91E+00	8.91E-01	1.62E+00	1.26E+00	1.05E+00	5.27E-01
TCGA-NJ-A4YI	4.87E+00	1.62E+00	5.19E+00	7.75E-01	2.78E+00	2.04E+00	1.22E+00	9.05E-01
TCGA-NJ-A4YP	3.48E+00	1.06E+00	3.81E+00	5.76E+00	4.67E+00	1.51E+00	7.52E-01	4.22E+00
TCGA-NJ-A4YQ	1.24E+01	3.58E+00	1.28E+01	1.19E+00	6.87E+00	3.84E+00	1.37E+00	1.27E+00
TCGA-NJ-A55A	1.68E+00	6.78E-01	1.74E+00	3.77E-01	1.36E+00	1.23E+00	5.44E-01	2.10E-01
TCGA-NJ-A55O	2.26E+00	7.35E-01	2.25E+00	4.30E-01	1.20E+00	6.44E-01	5.62E-01	2.48E-01
TCGA-NJ-A55R	2.92E+00	1.05E+00	3.13E+00	6.25E-01	2.39E+00	1.84E+00	7.76E-01	6.36E-01
TCGA-NJ-A7XG	6.00E-01	1.64E-01	7.34E-01	1.10E-01	6.58E-01	4.78E-01	5.13E-01	1.79E-01
TCGA-O1-A52J	2.05E+00	9.11E-01	2.20E+00	5.24E-01	1.66E+00	1.39E+00	7.48E-01	5.35E-01
TCGA-S2-AA1A	2.23E+00	7.75E-01	2.35E+00	3.21E-01	1.36E+00	7.57E-01	6.26E-01	2.44E-01
