Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-73-4670	3.68E+00	1.51E+00	4.20E+00	8.89E-01	3.09E+00	1.97E+00	1.30E+00	1.39E+00
TCGA-73-4675	2.31E-01	4.01E-01	8.48E-01	3.19E-01	1.02E+00	1.05E+00	6.60E-01	6.69E-01
TCGA-73-4676	1.08E+00	3.76E-01	1.45E+00	2.88E-01	1.37E+00	1.25E+00	6.76E-01	6.72E-01
TCGA-73-4677	3.08E+00	1.09E+00	3.79E+00	6.82E-01	2.54E+00	1.71E+00	9.59E-01	7.32E-01
TCGA-73-7498	1.86E+00	6.43E-01	2.01E+00	3.08E-01	1.40E+00	8.63E-01	7.82E-01	6.46E-01
TCGA-73-7499	3.89E-01	1.02E-01	9.79E-01	5.59E-01	1.14E+00	1.08E+00	6.90E-01	2.60E-01
TCGA-73-A9RS	9.32E+00	3.46E+00	9.78E+00	1.45E+00	6.31E+00	2.62E+00	1.12E+00	1.09E+00
TCGA-75-5122	1.55E+00	5.11E-01	1.49E+00	8.29E-01	1.41E+00	1.08E+00	8.95E-01	6.66E-01
TCGA-75-5125	1.86E+00	5.71E-01	1.92E+00	8.44E-01	1.65E+00	1.25E+00	8.84E-01	6.25E-01
TCGA-75-5126	6.12E+00	2.15E+00	6.36E+00	2.37E+00	3.75E+00	2.12E+00	1.03E+00	1.70E+00
TCGA-75-5146	2.72E+00	9.14E-01	2.69E+00	5.83E-01	2.28E+00	1.18E+00	3.98E-01	6.75E-01
TCGA-75-5147	2.57E-01	8.36E-02	3.70E-01	4.43E-01	4.57E-01	4.61E-01	4.88E-01	5.62E-01
TCGA-75-6203	7.40E-02	9.65E-02	1.97E-01	0.00E+00	2.02E-01	1.99E-01	2.93E-01	1.10E-01
TCGA-75-6205	3.64E-01	2.86E-01	1.14E+00	4.64E-01	1.14E+00	9.54E-01	4.73E-01	7.36E-01
TCGA-75-6206	1.58E+00	3.45E-01	1.64E+00	6.21E-01	1.46E+00	1.07E+00	4.82E-01	3.42E-01
TCGA-75-6207	5.26E-01	2.28E-01	9.99E-01	6.01E-01	9.58E-01	1.04E+00	8.14E-01	5.58E-01
TCGA-75-6211	4.77E+00	1.52E+00	4.69E+00	7.37E-01	2.98E+00	1.82E+00	1.05E+00	6.24E-01
TCGA-75-6212	8.63E-02	1.10E-01	2.34E-01	2.31E-01	3.24E-01	2.60E-01	4.18E-01	1.46E-01
TCGA-75-6214	6.16E+00	2.17E+00	6.39E+00	2.60E+00	4.57E+00	3.01E+00	1.47E+00	1.72E+00
TCGA-75-7025	2.19E-01	1.55E-01	4.51E-01	3.74E-01	4.40E-01	6.53E-01	6.06E-01	3.87E-01
TCGA-75-7027	3.34E+00	1.00E+00	3.40E+00	5.54E-01	2.21E+00	1.19E+00	9.53E-01	7.01E-01
TCGA-75-7030	1.51E-01	1.86E-01	1.70E-01	0.00E+00	2.95E-01	2.08E-01	3.34E-01	2.07E-01
TCGA-75-7031	2.50E+00	7.49E-01	2.58E+00	7.85E-01	1.82E+00	1.53E+00	9.50E-01	1.25E+00
TCGA-78-7145	2.67E+00	9.98E-01	2.85E+00	6.78E-01	2.23E+00	9.41E-01	8.08E-01	6.17E-01
TCGA-78-7146	3.39E+00	1.63E+00	3.63E+00	1.70E+00	2.45E+00	1.53E+00	9.95E-01	1.13E+00
TCGA-78-7147	3.66E+00	9.78E-01	3.82E+00	1.15E+00	2.55E+00	2.37E+00	1.04E+00	1.36E+00
TCGA-78-7148	2.67E+00	9.62E-01	2.85E+00	6.44E-01	2.18E+00	1.29E+00	1.00E+00	1.01E+00
TCGA-78-7149	1.39E+00	4.49E-01	1.33E+00	1.29E+00	1.56E+00	1.16E+00	9.08E-01	9.48E-01
TCGA-78-7150	3.48E+00	9.03E-01	3.16E+00	2.03E+00	3.15E+00	2.12E+00	1.24E+00	1.72E+00
TCGA-78-7152	2.13E+00	6.37E-01	2.28E+00	1.47E+00	1.63E+00	1.16E+00	7.75E-01	9.65E-01
TCGA-78-7153	1.20E+00	4.29E-01	1.42E+00	7.40E-01	1.52E+00	1.34E+00	9.87E-01	7.00E-01
TCGA-78-7154	1.48E+00	6.84E-01	1.93E+00	1.67E+00	2.11E+00	1.51E+00	1.25E+00	1.30E+00
TCGA-78-7155	1.53E+01	4.59E+00	1.40E+01	2.10E+00	9.74E+00	4.94E+00	1.56E+00	2.53E+00
TCGA-78-7156	3.51E+00	1.09E+00	3.75E+00	2.36E+00	2.84E+00	1.33E+00	1.12E+00	1.70E+00
TCGA-78-7158	3.04E+00	1.31E+00	3.15E+00	1.12E+00	2.43E+00	1.25E+00	9.42E-01	7.92E-01
TCGA-78-7159	3.40E+00	1.53E+00	3.43E+00	6.35E-01	2.22E+00	1.63E+00	9.32E-01	9.61E-01
TCGA-78-7160	9.08E-01	4.03E-01	9.08E-01	3.46E-01	9.93E-01	9.44E-01	4.69E-01	3.96E-01
TCGA-78-7161	2.38E+00	1.11E+00	2.60E+00	5.90E-01	1.90E+00	1.45E+00	7.40E-01	8.21E-01
TCGA-78-7162	1.16E+00	4.44E-01	1.26E+00	5.95E-01	1.40E+00	1.03E+00	6.84E-01	5.92E-01
TCGA-78-7163	6.16E-01	5.61E-01	6.19E-01	1.51E-01	6.51E-01	3.32E-01	4.39E-01	2.60E-01
TCGA-78-7166	2.86E+00	1.30E+00	2.59E+00	5.72E-01	1.93E+00	1.16E+00	8.68E-01	1.07E+00
TCGA-78-7167	1.50E+00	6.94E-01	1.41E+00	8.70E-01	1.14E+00	9.82E-01	7.55E-01	4.94E-01
TCGA-78-7220	9.46E+00	2.17E+00	9.67E+00	2.11E+00	5.60E+00	2.99E+00	1.40E+00	1.75E+00
TCGA-78-7535	1.87E+00	7.00E-01	2.26E+00	4.04E-01	1.88E+00	1.70E+00	6.46E-01	1.25E+00
