NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	201.498	71.398	32.227	55.883	0.548	0.708	20000.0
2	200.87	71.113	32.2	55.882	0.544	0.708	40000.0
3	199.736	70.55	31.977	55.607	0.543	0.71	20000.0
4	201.007	71.116	32.386	56.085	0.546	0.705	20000.0
5	201.165	70.904	32.224	55.728	0.54	0.711	40000.0
6	200.647	70.846	32.325	55.743	0.541	0.711	30000.0
7	201.708	71.065	32.322	55.931	0.549	0.706	20000.0
8	202.268	71.841	32.373	56.149	0.553	0.705	30000.0
9	200.945	71.217	32.211	55.811	0.542	0.71	20000.0
10	200.271	70.941	32.119	55.836	0.543	0.708	30000.0
11	201.044	71.039	32.183	55.854	0.548	0.708	40000.0
12	202.864	71.521	32.504	56.051	0.547	0.708	30000.0
13	201.186	71.252	32.315	56.119	0.549	0.706	30000.0
14	201.212	71.079	32.236	55.666	0.544	0.71	40000.0
15	201.779	71.062	32.447	55.765	0.54	0.713	50000.0
16	199.936	70.797	32.149	55.715	0.543	0.71	70000.0
17	200.729	70.917	32.155	55.668	0.543	0.71	50000.0
18	200.498	70.919	32.107	55.721	0.544	0.709	30000.0
19	201.311	70.931	32.234	55.642	0.539	0.712	30000.0
20	200.972	71.173	32.353	55.979	0.547	0.707	20000.0
21	200.808	71.103	32.268	55.925	0.545	0.707	50000.0
22	200.53	71.233	32.183	56.002	0.545	0.706	40000.0
23	201.256	71.397	32.223	55.917	0.551	0.708	40000.0
24	199.38	70.734	32.118	55.663	0.538	0.712	40000.0
25	202.433	71.435	32.527	56.007	0.546	0.708	20000.0
26	201.353	70.836	32.352	55.801	0.539	0.712	40000.0
27	201.24	71.127	32.365	56.005	0.547	0.709	30000.0
28	202.098	71.116	32.467	55.93	0.542	0.71	120000.0
29	201.176	71.09	32.308	55.919	0.543	0.708	30000.0
30	201.854	71.484	32.533	56.272	0.546	0.704	20000.0
31	200.794	70.995	32.236	55.676	0.54	0.712	20000.0
32	200.933	70.917	32.117	55.726	0.54	0.711	20000.0
33	200.626	70.876	32.185	55.795	0.545	0.709	50000.0
34	200.751	71.439	32.236	55.993	0.55	0.707	30000.0
35	201.918	71.475	32.274	55.882	0.546	0.709	30000.0
36	200.364	70.827	32.313	55.823	0.547	0.71	40000.0
37	201.352	71.169	32.313	55.827	0.546	0.709	30000.0
38	201.164	71.22	32.233	55.89	0.544	0.708	30000.0
39	200.249	71.218	32.169	56.027	0.549	0.706	90000.0
40	201.57	70.906	32.473	55.904	0.547	0.709	40000.0
41	201.184	70.786	32.254	55.838	0.542	0.711	30000.0
42	200.52	71.123	32.169	55.866	0.547	0.707	30000.0
43	201.933	71.423	32.415	56.088	0.55	0.706	20000.0
44	201.335	71.327	32.4	55.987	0.549	0.708	30000.0
45	201.81	71.378	32.36	56.066	0.547	0.706	40000.0
46	202.606	71.718	32.525	56.259	0.547	0.705	20000.0
47	201.702	71.571	32.477	56.14	0.552	0.705	70000.0
48	200.38	71.121	32.157	55.894	0.549	0.707	30000.0
49	202.707	71.48	32.533	56.032	0.55	0.708	70000.0
50	199.472	70.859	32.071	55.761	0.541	0.711	20000.0
51	200.803	71.048	32.213	55.764	0.548	0.708	40000.0
52	201.639	71.323	32.396	56.014	0.548	0.707	20000.0
53	201.386	70.756	32.416	55.743	0.538	0.711	20000.0
54	202.203	71.405	32.419	56.041	0.549	0.706	40000.0
55	200.783	70.878	32.114	55.64	0.539	0.712	40000.0
56	201.011	70.92	32.234	55.494	0.544	0.714	30000.0
57	201.507	71.289	32.319	56.042	0.549	0.707	20000.0
58	200.243	70.817	32.122	55.717	0.544	0.711	40000.0
59	201.018	70.901	32.387	55.952	0.544	0.708	20000.0
60	200.705	71.326	32.087	55.901	0.549	0.708	30000.0
61	202.427	71.418	32.536	56.15	0.546	0.706	60000.0
62	201.384	71.454	32.353	55.994	0.551	0.708	20000.0
63	201.125	71.182	32.378	55.913	0.543	0.708	30000.0
64	201.859	71.158	32.177	55.753	0.546	0.71	20000.0
65	202.389	71.349	32.338	56.149	0.545	0.705	30000.0
66	201.319	71.286	32.388	55.907	0.552	0.706	30000.0
67	202.027	71.258	32.469	55.882	0.546	0.709	20000.0
68	200.544	71.172	32.361	56.09	0.545	0.705	40000.0
69	200.31	70.798	31.992	55.683	0.542	0.709	80000.0
70	201.251	70.876	32.165	55.734	0.544	0.71	20000.0
71	200.709	70.748	32.075	55.592	0.543	0.71	20000.0
72	200.506	71.049	32.104	55.938	0.544	0.707	20000.0
73	200.592	70.692	32.122	55.713	0.539	0.711	20000.0
74	200.036	70.866	31.998	55.533	0.542	0.711	40000.0
75	199.558	70.856	31.988	55.745	0.545	0.708	20000.0
76	200.639	70.84	32.279	55.757	0.547	0.71	20000.0
77	200.706	70.938	32.26	55.784	0.544	0.71	50000.0
78	201.415	70.992	32.354	55.951	0.542	0.709	20000.0
79	199.776	70.724	31.994	55.615	0.54	0.713	40000.0
80	199.555	70.743	31.915	55.654	0.541	0.709	30000.0
81	202.46	71.566	32.64	56.075	0.548	0.708	30000.0
82	200.721	71.394	32.399	55.979	0.55	0.707	30000.0
83	201.656	71.112	32.286	55.877	0.54	0.708	180000.0
84	202.143	71.523	32.416	56.151	0.547	0.706	60000.0
85	201.253	71.325	32.406	56.056	0.548	0.706	40000.0
86	201.739	71.322	32.476	55.987	0.546	0.709	70000.0
87	200.23	71.028	32.166	55.828	0.547	0.707	30000.0
88	201.725	71.344	32.265	55.823	0.548	0.708	30000.0
89	200.05	70.721	32.144	55.617	0.542	0.712	30000.0
90	201.753	71.302	32.329	55.885	0.547	0.708	20000.0
91	201.758	71.184	32.429	55.908	0.545	0.708	20000.0
92	200.482	70.84	32.155	55.589	0.54	0.713	30000.0
