NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	179.057	65.837	27.066	49.91	0.478	0.766	40000.0
2	179.096	65.751	27.214	50.11	0.477	0.763	20000.0
3	177.201	64.82	26.848	49.586	0.473	0.769	30000.0
4	178.17	65.496	27.27	49.992	0.474	0.765	50000.0
5	178.435	64.885	27.057	49.424	0.468	0.773	30000.0
6	177.907	65.076	27.11	49.661	0.472	0.769	40000.0
7	178.894	65.523	27.23	50.116	0.48	0.762	20000.0
8	179.454	66.16	27.159	50.05	0.481	0.766	30000.0
9	178.282	65.356	27.207	49.829	0.472	0.768	50000.0
10	178.526	65.522	27.136	50.006	0.476	0.764	20000.0
11	178.909	65.488	27.119	49.873	0.477	0.765	40000.0
12	180.3	65.692	27.435	50.025	0.475	0.767	40000.0
13	179.191	65.691	27.28	50.043	0.477	0.764	20000.0
14	178.842	65.421	27.119	49.65	0.474	0.767	30000.0
15	179.489	65.388	27.282	49.773	0.471	0.77	40000.0
16	177.318	65.091	27.036	49.718	0.474	0.767	50000.0
17	178.666	65.546	27.081	49.949	0.475	0.765	30000.0
18	178.414	65.373	27.113	49.722	0.473	0.767	30000.0
19	178.839	65.45	27.138	49.795	0.47	0.769	20000.0
20	178.302	65.445	27.162	49.853	0.477	0.767	40000.0
21	178.415	65.468	27.209	49.919	0.473	0.767	20000.0
22	178.976	65.902	27.208	50.151	0.477	0.763	30000.0
23	178.696	65.694	27.289	50.169	0.482	0.764	20000.0
24	177.188	64.984	27.076	49.715	0.469	0.77	30000.0
25	179.279	65.759	27.28	49.989	0.476	0.767	30000.0
26	178.908	65.345	27.298	49.941	0.473	0.768	20000.0
27	178.248	65.382	27.131	49.897	0.476	0.768	50000.0
28	179.65	65.57	27.266	49.988	0.474	0.766	30000.0
29	178.433	65.256	27.162	49.823	0.471	0.767	30000.0
30	178.871	65.561	27.325	50.119	0.474	0.765	30000.0
31	177.891	65.143	27.095	49.609	0.471	0.77	30000.0
32	178.17	65.271	26.985	49.649	0.471	0.768	40000.0
33	177.729	65.034	27.027	49.601	0.473	0.769	20000.0
34	177.661	65.718	27.114	49.911	0.48	0.766	30000.0
35	179.206	65.769	27.147	49.989	0.476	0.765	40000.0
36	178.709	65.298	27.352	49.912	0.479	0.766	40000.0
37	178.855	65.662	27.129	50.04	0.478	0.764	50000.0
38	178.17	65.59	27.068	49.951	0.476	0.764	30000.0
39	178.215	65.741	27.098	50.12	0.481	0.762	40000.0
40	178.959	65.506	27.268	49.933	0.478	0.767	40000.0
41	179.078	65.439	27.168	49.979	0.474	0.765	50000.0
42	178.392	65.455	27.125	49.939	0.476	0.765	20000.0
43	180.083	65.911	27.383	50.181	0.48	0.762	30000.0
44	179.226	65.803	27.305	50.083	0.481	0.764	20000.0
45	179.139	65.705	27.222	50.015	0.477	0.765	40000.0
46	179.512	65.901	27.315	50.214	0.477	0.763	30000.0
47	179.052	65.963	27.347	50.318	0.481	0.761	20000.0
48	178.628	65.666	27.227	50.127	0.479	0.763	50000.0
49	180.25	65.939	27.424	50.169	0.48	0.764	30000.0
50	177.051	65.19	27.044	49.777	0.471	0.768	40000.0
51	178.55	65.597	27.117	49.874	0.479	0.765	30000.0
52	179.206	65.802	27.11	49.997	0.478	0.765	50000.0
53	179.564	65.423	27.426	49.962	0.471	0.766	30000.0
54	178.986	65.532	27.337	50.001	0.477	0.765	40000.0
55	177.834	65.288	26.971	49.706	0.473	0.768	50000.0
56	178.584	65.32	27.135	49.65	0.476	0.77	20000.0
57	179.304	65.944	27.278	50.207	0.483	0.762	30000.0
58	177.603	65.25	26.964	49.711	0.476	0.768	30000.0
59	178.382	65.062	27.144	49.791	0.472	0.766	20000.0
60	178.181	65.612	27.048	49.966	0.479	0.765	20000.0
61	180.054	65.758	27.386	50.103	0.475	0.766	30000.0
62	178.68	65.674	27.159	49.921	0.479	0.766	30000.0
63	179.081	65.584	27.291	49.878	0.473	0.768	50000.0
64	179.737	65.727	27.247	49.956	0.479	0.766	40000.0
65	179.427	65.821	27.107	50.174	0.476	0.763	20000.0
66	178.052	65.675	27.034	49.995	0.483	0.762	30000.0
67	179.821	65.716	27.288	49.974	0.478	0.765	20000.0
68	178.51	65.306	27.227	49.851	0.471	0.767	20000.0
69	178.529	65.483	27.018	49.793	0.474	0.767	40000.0
70	178.807	65.465	27.02	49.827	0.477	0.766	40000.0
71	178.624	65.456	27.1	49.882	0.477	0.766	30000.0
72	178.113	65.379	26.995	49.825	0.474	0.766	40000.0
73	178.419	65.194	26.981	49.724	0.469	0.769	30000.0
74	177.817	65.256	26.984	49.655	0.474	0.769	20000.0
75	177.492	65.34	26.97	49.725	0.475	0.766	20000.0
76	177.969	65.315	27.119	49.938	0.479	0.765	40000.0
77	178.483	65.363	27.218	49.894	0.474	0.768	20000.0
78	178.987	65.204	27.266	49.858	0.472	0.768	20000.0
79	177.978	65.316	26.958	49.76	0.472	0.767	20000.0
80	177.352	65.271	26.906	49.698	0.474	0.766	30000.0
81	179.648	66.013	27.422	50.124	0.48	0.765	20000.0
82	178.043	65.648	27.262	49.975	0.479	0.765	20000.0
83	179.057	65.197	26.992	49.622	0.469	0.77	30000.0
84	179.743	65.883	27.277	50.091	0.477	0.764	40000.0
85	179.01	65.828	27.342	50.309	0.48	0.762	20000.0
86	179.334	65.815	27.377	50.15	0.477	0.765	40000.0
87	178.071	65.432	27.095	49.933	0.476	0.765	20000.0
88	179.103	65.519	27.228	49.854	0.476	0.768	30000.0
89	177.835	65.426	27.052	49.943	0.475	0.766	30000.0
90	179.295	65.756	27.228	50.014	0.477	0.765	30000.0
91	179.507	65.591	27.391	49.948	0.475	0.766	40000.0
92	178.394	65.541	27.096	49.834	0.472	0.766	20000.0
93	177.938	65.356	27.093	50.013	0.474	0.765	30000.0
94	178.28	65.221	27.176	49.849	0.471	0.769	20000.0
95	179.001	65.765	27.307	50.022	0.477	0.766	30000.0
96	179.082	65.751	27.188	49.924	0.474	0.767	30000.0
97	178.989	65.91	27.211	50.129	0.48	0.765	40000.0
98	178.057	65.167	27.014	49.785	0.473	0.768	20000.0
99	178.543	65.582	27.12	49.977	0.479	0.765	40000.0
100	178.125	65.366	27.044	49.805	0.473	0.767	30000.0
