Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-55-7727	64	32	45	107	0	29	41
TCGA-55-7728	32	22	40	3	0	25	0
TCGA-55-7815	73	19	46	9	0	28	9
TCGA-55-7816	0	0	0	0	0	2	0
TCGA-55-7903	19	35	22	25	25	44	19
TCGA-55-7907	646	246	212	259	56	42	0
TCGA-55-7910	139	71	105	12	0	43	0
TCGA-55-7911	99	35	99	25	0	22	2
TCGA-55-7913	201	59	16	49	53	45	13
TCGA-55-7914	60	29	20	28	38	39	0
TCGA-55-7994	770	371	375	107	206	64	6
TCGA-55-7995	335	92	146	112	66	17	61
TCGA-55-8085	98	29	0	127	9	43	25
TCGA-55-8087	0	1	5	8	6	17	3
TCGA-55-8089	553	191	230	463	9	53	57
TCGA-55-8090	16	17	38	4	28	10	0
TCGA-55-8091	8	0	0	0	4	25	1
TCGA-55-8092	183	99	105	146	0	82	112
TCGA-55-8094	244	110	37	17	69	28	56
TCGA-55-8096	78	14	41	16	0	25	5
TCGA-55-8097	25	23	0	14	15	51	14
TCGA-55-8203	288	92	29	10	61	54	2
TCGA-55-8204	42	13	79	92	14	23	7
TCGA-55-8205	208	60	35	216	121	8	0
TCGA-55-8206	5	1	0	6	6	15	5
TCGA-55-8207	131	69	58	18	77	35	0
TCGA-55-8208	49	17	104	205	50	5	16
TCGA-55-8299	240	73	33	26	103	14	27
TCGA-55-8301	144	43	62	35	55	22	1
TCGA-55-8302	412	133	203	32	35	33	0
TCGA-55-8505	4	0	0	16	9	17	2
TCGA-55-8506	743	342	0	17	229	765	27
TCGA-55-8507	596	220	146	43	121	55	38
TCGA-55-8508	96	29	9	14	19	35	27
TCGA-55-8510	157	78	102	38	5	15	0
TCGA-55-8511	323	109	42	87	14	55	85
TCGA-55-8512	3	7	24	5	4	7	2
TCGA-55-8513	0	0	0	0	0	9	0
TCGA-55-8514	132	60	107	10	0	44	0
TCGA-55-8614	42	14	80	38	70	56	0
TCGA-55-8615	33	14	68	2	10	19	18
TCGA-55-8616	317	117	66	21	31	55	0
TCGA-55-8619	2	0	0	0	0	25	0
TCGA-55-8620	232	104	100	21	86	64	11
TCGA-55-8621	27	9	4	10	32	7	0
TCGA-55-A48X	267	68	73	37	12	17	11
TCGA-55-A48Y	0	5	0	373	0	37	31
TCGA-55-A48Z	12	2	10	4	11	21	8
TCGA-55-A490	843	331	174	136	84	47	38
TCGA-55-A491	189	78	31	39	91	25	14
TCGA-55-A492	144	42	70	18	31	37	16
TCGA-55-A493	139	25	0	85	19	27	45
TCGA-55-A494	134	39	29	18	0	75	4
TCGA-55-A4DF	105	44	98	655	15	51	16
TCGA-55-A4DG	427	170	66	32	119	34	0
TCGA-55-A57B	3	1	8	9	0	25	3
TCGA-62-8394	0	12	45	51	39	21	7
TCGA-62-8395	0	2	18	21	16	33	0
TCGA-62-8397	7	1	0	0	0	14	10
TCGA-62-8398	34	10	0	9	15	22	14
TCGA-62-8399	203	67	0	261	77	54	0
TCGA-62-8402	0	0	28	5	0	32	9
TCGA-62-A46O	412	172	160	173	95	46	37
TCGA-62-A46P	163	69	48	7	28	39	0
TCGA-62-A46R	59	24	1	28	26	39	32
TCGA-62-A46S	33	27	17	11	0	41	31
TCGA-62-A46U	13	1	2	8	4	21	3
TCGA-62-A46V	9	2	0	5	10	31	14
TCGA-62-A46Y	10	0	2	0	0	20	8
TCGA-62-A470	38	12	26	12	6	46	7
TCGA-62-A471	0	5	0	74	30	18	21
TCGA-62-A472	0	7	38	3	0	13	11
TCGA-64-1676	362	136	152	21	18	39	14
TCGA-64-1677	40	21	41	102	38	25	0
TCGA-64-1679	373	83	89	60	0	19	12
TCGA-64-1680	14	0	1	32	0	29	2
TCGA-64-1681	0	0	34	25	0	10	37
TCGA-64-5774	77	33	0	8	33	25	0
TCGA-64-5775	240	129	119	27	37	40	0
TCGA-64-5778	304	90	45	42	50	28	25
TCGA-64-5779	173	102	37	16	71	36	3
TCGA-64-5781	585	218	309	161	0	41	103
TCGA-64-5815	76	34	69	5	0	27	3
TCGA-67-3770	106	46	42	6	37	18	18
TCGA-67-3771	245	165	334	382	154	29	28
TCGA-67-3772	12	0	0	6	24	33	4
TCGA-67-3773	44	21	27	2	0	20	14
TCGA-67-3774	26	14	82	8	6	7	8
TCGA-67-4679	174	46	88	14	10	22	11
TCGA-67-6215	0	0	0	0	0	2	135
TCGA-67-6216	0	3	8	16	10	10	0
TCGA-67-6217	88	42	20	10	19	32	28
TCGA-69-7760	16	1	0	5	21	27	18
TCGA-69-7761	14	0	0	0	7	7	8
TCGA-69-7763	7	14	15	0	15	42	9
TCGA-69-7764	38	5	0	8	43	19	4
TCGA-69-7765	316	139	117	80	66	4	33
TCGA-69-7973	153	71	9	15	14	35	14
TCGA-69-7974	226	119	170	41	46	44	0
TCGA-69-7978	297	97	50	230	70	29	0
TCGA-69-7979	985	383	203	118	40	79	0
TCGA-69-7980	346	142	122	214	133	20	0
TCGA-69-8253	80	23	37	31	0	20	19
TCGA-69-8254	13	5	39	0	0	26	14
TCGA-69-8255	78	43	68	42	50	32	54
TCGA-69-A59K	358	120	0	53	0	76	30
TCGA-71-6725	10	6	0	6	5	47	7
TCGA-71-8520	17	5	0	21	18	42	2
TCGA-73-4658	111	46	22	163	10	43	54
TCGA-73-4659	144	27	67	12	0	21	3
TCGA-73-4662	113	43	61	19	9	21	11
TCGA-73-4666	205	79	77	24	38	34	30
TCGA-73-4668	375	82	57	18	83	35	0
TCGA-73-4670	90	82	160	19	3	30	68
TCGA-73-4675	0	13	7	5	38	15	7
TCGA-73-4676	12	8	31	0	25	20	18
TCGA-73-4677	129	48	54	16	20	26	18
TCGA-73-7498	26	23	58	0	0	25	9
TCGA-73-7499	0	1	22	20	18	24	0
TCGA-73-A9RS	622	238	112	87	61	26	28
TCGA-75-5122	22	15	51	35	8	36	1
TCGA-75-5125	61	11	34	53	27	29	0
TCGA-75-5126	370	101	28	224	59	25	11
TCGA-75-5146	104	49	43	12	8	5	18
TCGA-75-5147	0	1	0	12	8	19	7
TCGA-75-6203	0	1	4	0	0	14	0
TCGA-75-6205	0	4	16	9	11	9	13
TCGA-75-6206	29	6	41	18	11	4	0
TCGA-75-6207	4	3	16	18	23	20	0
TCGA-75-6211	237	64	55	26	45	33	0
TCGA-75-6212	0	1	6	2	0	11	3
TCGA-75-6214	269	119	200	219	54	40	2
TCGA-75-7025	0	2	0	6	5	24	6
TCGA-75-7027	135	42	93	9	1	21	12
TCGA-75-7030	1	2	4	0	0	11	1
TCGA-75-7031	94	18	50	25	33	32	14
TCGA-78-7145	111	41	63	20	0	23	0
TCGA-78-7146	163	81	54	130	13	47	17
TCGA-78-7147	97	53	109	52	43	37	47
TCGA-78-7148	57	54	97	7	27	22	25
TCGA-78-7149	4	12	58	100	7	15	4
TCGA-78-7150	52	41	180	172	0	40	36
TCGA-78-7152	81	15	8	108	28	18	2
TCGA-78-7153	13	9	55	31	4	45	3
TCGA-78-7154	40	17	0	128	51	66	31
TCGA-78-7155	934	326	61	154	257	33	103
TCGA-78-7156	105	40	35	171	0	37	39
TCGA-78-7158	132	82	10	50	13	24	29
TCGA-78-7159	164	107	36	13	47	35	18
TCGA-78-7160	17	11	11	5	18	7	3
TCGA-78-7161	98	47	0	16	47	27	15
TCGA-78-7162	11	8	46	19	0	10	9
TCGA-78-7163	26	29	0	2	0	13	0
TCGA-78-7166	118	59	30	8	15	14	33
TCGA-78-7167	43	14	0	45	18	30	5
TCGA-78-7220	359	149	301	124	7	36	87
TCGA-78-7535	56	33	31	0	43	12	49
TCGA-78-7536	407	214	0	8	88	45	84
TCGA-78-7537	53	11	70	17	0	6	14
TCGA-78-7539	88	44	17	344	82	39	0
TCGA-78-7540	55	265	0	2	0	23	0
TCGA-78-7542	208	98	17	39	18	40	59
TCGA-78-7633	44	83	50	9	5	12	0
TCGA-78-8640	341	97	89	151	137	55	47
TCGA-78-8648	4	2	3	0	3	5	0
TCGA-78-8655	40	23	10	8	12	30	10
TCGA-78-8660	74	23	114	49	0	27	21
TCGA-78-8662	649	210	180	104	193	44	64
TCGA-80-5607	5	3	0	123	0	7	22
TCGA-80-5608	225	240	0	11	0	21	0
TCGA-80-5611	29	16	91	10	70	12	21
TCGA-83-5908	80	32	29	107	36	11	0
TCGA-86-6562	0	6	13	26	8	19	4
TCGA-86-6851	492	195	167	139	152	0	0
TCGA-86-7701	0	289	262	8	0	11	0
TCGA-86-7711	183	51	0	122	131	56	21
TCGA-86-7713	38	83	221	14	0	28	15
TCGA-86-7714	15	7	39	3	12	10	5
TCGA-86-7953	18	2	0	8	20	10	7
TCGA-86-7954	55	33	63	52	27	44	17
TCGA-86-7955	73	55	129	30	24	24	46
TCGA-86-8054	158	22	0	16	22	27	31
TCGA-86-8055	1	2	15	3	0	33	11
TCGA-86-8056	67	14	13	179	0	30	39
TCGA-86-8073	995	372	145	122	124	43	56
TCGA-86-8074	7	5	17	3	2	15	30
TCGA-86-8075	0	1	4	6	19	29	3
TCGA-86-8076	0	9	26	25	0	24	0
TCGA-86-8278	0	0	0	116	0	21	8
TCGA-86-8279	346	102	0	21	130	27	13
TCGA-86-8280	0	1	35	3	1	14	1
TCGA-86-8281	91	68	30	46	68	35	0
TCGA-86-8358	637	209	319	42	50	83	41
TCGA-86-8359	95	23	31	11	0	22	19
TCGA-86-8585	251	90	131	134	96	12	0
TCGA-86-8668	6	0	0	4	0	28	9
TCGA-86-8669	22	16	88	13	0	30	1
TCGA-86-8671	3	0	12	13	1	14	4
TCGA-86-8672	80	66	121	46	0	34	31
TCGA-86-8673	215	82	148	51	60	15	36
TCGA-86-8674	202	69	0	44	16	18	37
TCGA-86-A456	183	81	38	38	63	20	31
TCGA-86-A4JF	68	130	0	147	755	521	33
TCGA-86-A4P7	0	0	32	27	9	17	0
TCGA-86-A4P8	0	0	2	0	0	0	0
TCGA-91-6828	291	121	140	64	3	56	27
TCGA-91-6829	192	131	319	58	85	12	26
TCGA-91-6830	14	37	6	245	43	1	0
TCGA-91-6831	101	36	103	15	67	24	0
TCGA-91-6835	31	8	0	21	41	12	3
TCGA-91-6836	279	160	68	32	59	45	12
TCGA-91-6840	11	34	10	90	13	20	0
TCGA-91-6847	9	21	5	19	19	45	4
TCGA-91-6848	232	130	159	118	134	7	5
TCGA-91-6849	55	31	33	8	9	8	13
TCGA-91-7771	35	26	99	21	19	10	41
TCGA-91-8496	0	1	11	5	4	21	0
TCGA-91-8497	4	3	20	4	0	19	6
TCGA-91-8499	93	42	58	115	38	34	17
TCGA-91-A4BC	304	83	57	28	32	46	13
TCGA-91-A4BD	0	0	0	2	8	13	4
TCGA-93-7347	44	25	42	12	14	9	0
TCGA-93-7348	73	23	0	32	55	53	35
TCGA-93-8067	39	29	0	534	0	38	35
TCGA-93-A4JN	2	8	20	14	9	27	18
TCGA-93-A4JO	1	1	12	15	28	9	0
TCGA-93-A4JP	15	1	0	26	8	18	15
TCGA-93-A4JQ	9	0	0	65	68	3	0
TCGA-95-7039	797	307	96	80	206	52	82
TCGA-95-7043	704	268	217	79	5	78	6
TCGA-95-7562	298	86	13	12	18	37	2
TCGA-95-7567	111	128	0	1	628	249	30
TCGA-95-7944	7	6	35	246	0	7	8
TCGA-95-7947	183	35	26	248	99	29	47
TCGA-95-7948	0	1	0	163	0	20	0
TCGA-95-8039	11	12	6	22	29	24	14
TCGA-95-8494	5	2	0	66	0	37	23
TCGA-95-A4VK	150	49	52	10	0	44	13
TCGA-95-A4VN	353	83	44	52	25	24	11
TCGA-95-A4VP	56	22	34	3	31	14	1
TCGA-97-7546	135	66	100	16	21	17	0
TCGA-97-7547	61	30	45	67	7	24	0
TCGA-97-7552	4	4	2	0	11	24	9
TCGA-97-7553	10	5	12	3	0	20	1
TCGA-97-7554	327	71	16	22	62	41	35
TCGA-97-7937	206	119	143	35	9	52	0
TCGA-97-7938	207	93	46	60	72	28	0
TCGA-97-7941	56	10	0	18	8	23	8
TCGA-97-8171	4	2	21	1	6	38	1
TCGA-97-8172	104	50	103	1	0	53	20
TCGA-97-8174	79	29	0	32	31	42	0
TCGA-97-8175	6	0	19	2	0	8	6
TCGA-97-8176	16	17	68	56	0	26	15
TCGA-97-8177	0	1	10	6	8	11	12
TCGA-97-8179	111	24	41	14	11	5	3
TCGA-97-8547	3	3	0	17	5	30	13
TCGA-97-8552	3	1	5	2	6	11	1
TCGA-97-A4LX	115	24	23	7	43	0	7
TCGA-97-A4M0	197	68	42	80	93	5	15
TCGA-97-A4M1	9	3	0	14	0	25	4
TCGA-97-A4M2	5	0	13	9	0	5	0
TCGA-97-A4M3	122	39	0	32	32	20	6
TCGA-97-A4M5	2	8	0	137	0	15	31
TCGA-97-A4M6	4	0	0	4	16	8	10
TCGA-97-A4M7	220	72	0	17	39	22	15
TCGA-99-7458	266	99	84	21	99	16	9
TCGA-99-8025	168	64	46	167	86	63	11
TCGA-99-8028	333	86	0	13	110	3	0
TCGA-99-8032	199	83	107	37	21	45	0
TCGA-99-8033	60	31	69	13	13	24	13
TCGA-99-AA5R	26	12	31	0	2	0	2
TCGA-J2-8192	3	1	31	10	17	29	1
TCGA-J2-8194	42	17	71	8	0	41	13
TCGA-J2-A4AD	93	20	0	173	121	13	0
TCGA-J2-A4AE	0	0	20	15	5	20	2
TCGA-J2-A4AG	36	15	18	8	6	31	0
TCGA-L4-A4E5	218	73	36	12	29	20	33
TCGA-L4-A4E6	3	5	6	6	0	1	0
TCGA-L9-A443	117	45	73	15	32	8	17
TCGA-L9-A444	367	130	121	23	0	29	31
TCGA-L9-A50W	8	0	0	6	0	7	15
TCGA-L9-A5IP	154	61	55	23	37	14	10
TCGA-L9-A743	37	22	0	71	33	6	0
TCGA-L9-A7SV	1156	472	156	66	121	58	0
TCGA-L9-A8F4	475	132	143	85	103	19	16
TCGA-MN-A4N1	229	94	148	38	15	55	10
TCGA-MN-A4N4	889	278	33	442	119	57	62
TCGA-MN-A4N5	259	97	0	50	94	24	41
TCGA-MP-A4SV	86	41	94	155	34	25	6
TCGA-MP-A4SW	0	3	24	12	0	42	6
TCGA-MP-A4SY	15	13	138	27	6	19	0
TCGA-MP-A4T4	178	98	76	35	57	20	22
TCGA-MP-A4T6	0	0	36	25	0	29	4
TCGA-MP-A4T7	75	34	13	4	0	21	13
TCGA-MP-A4T8	25	29	36	8	15	20	17
TCGA-MP-A4T9	0	5	24	11	0	3	3
TCGA-MP-A4TA	150	63	57	37	116	31	2
TCGA-MP-A4TC	158	56	15	30	35	17	16
TCGA-MP-A4TD	23	13	34	4	6	21	1
TCGA-MP-A4TE	57	23	13	4	10	66	1
TCGA-MP-A4TF	247	84	101	27	43	21	25
TCGA-MP-A4TH	39	4	46	0	11	25	15
TCGA-MP-A4TI	50	19	0	154	0	19	76
TCGA-MP-A4TJ	40	11	0	1	32	21	10
TCGA-MP-A4TK	193	67	45	68	34	9	28
TCGA-MP-A5C7	28	5	0	3	33	22	6
TCGA-NJ-A4YF	432	138	128	34	20	25	7
TCGA-NJ-A4YG	45	17	33	49	7	39	9
TCGA-NJ-A4YI	213	116	77	31	68	37	17
TCGA-NJ-A4YP	119	31	0	419	0	11	112
TCGA-NJ-A4YQ	645	273	234	30	179	12	20
TCGA-NJ-A55A	62	21	24	9	23	8	0
TCGA-NJ-A55O	115	21	0	13	5	12	0
TCGA-NJ-A55R	144	41	66	16	43	9	7
TCGA-NJ-A7XG	11	1	6	0	0	24	0
TCGA-O1-A52J	51	48	45	13	33	21	2
TCGA-S2-AA1A	69	23	28	5	8	11	0
