Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-L9-A5IP	3.34E+00	1.16E+00	3.28E+00	7.97E-01	2.12E+00	8.71E-01	8.03E-01
TCGA-L9-A743	1.68E+00	6.07E-01	1.57E+00	7.56E-01	1.28E+00	4.72E-01	9.21E-01
TCGA-L9-A7SV	1.27E+01	3.43E+00	1.31E+01	1.63E+00	5.87E+00	1.66E+00	1.54E+00
TCGA-L9-A8F4	6.10E+00	1.84E+00	6.29E+00	1.45E+00	3.41E+00	1.41E+00	1.77E+00
TCGA-MN-A4N1	4.11E+00	1.36E+00	4.31E+00	9.95E-01	2.89E+00	1.26E+00	1.48E+00
TCGA-MN-A4N4	9.76E+00	2.44E+00	9.70E+00	3.34E+00	4.56E+00	2.06E+00	3.21E+00
TCGA-MN-A4N5	3.93E+00	1.31E+00	4.47E+00	1.18E+00	2.59E+00	1.19E+00	1.46E+00
TCGA-MP-A4SV	2.33E+00	9.26E-01	2.94E+00	1.37E+00	2.05E+00	1.21E+00	1.43E+00
TCGA-MP-A4SW	6.61E-01	2.68E-01	1.10E+00	5.18E-01	8.10E-01	8.31E-01	5.62E-01
TCGA-MP-A4SY	1.87E+00	5.45E-01	2.30E+00	7.34E-01	1.95E+00	9.34E-01	9.95E-01
TCGA-MP-A4T4	3.59E+00	1.34E+00	3.83E+00	9.39E-01	2.21E+00	9.19E-01	1.17E+00
TCGA-MP-A4T6	2.41E-01	1.22E-01	1.08E+00	5.77E-01	1.04E+00	8.52E-01	8.12E-01
TCGA-MP-A4T7	1.45E+00	7.49E-01	1.39E+00	3.85E-01	9.44E-01	6.71E-01	5.91E-01
TCGA-MP-A4T8	1.38E+00	5.56E-01	1.80E+00	5.31E-01	1.60E+00	8.37E-01	1.15E+00
TCGA-MP-A4T9	6.53E-01	2.85E-01	8.72E-01	3.89E-01	6.63E-01	3.73E-01	4.30E-01
TCGA-MP-A4TA	3.40E+00	1.10E+00	3.64E+00	9.07E-01	2.98E+00	1.11E+00	1.13E+00
TCGA-MP-A4TC	2.76E+00	1.15E+00	3.12E+00	6.92E-01	1.78E+00	8.76E-01	9.46E-01
TCGA-MP-A4TD	1.22E+00	4.69E-01	1.48E+00	3.06E-01	1.04E+00	6.74E-01	5.73E-01
TCGA-MP-A4TE	1.73E+00	6.32E-01	1.93E+00	2.20E-01	1.48E+00	1.08E+00	6.33E-01
TCGA-MP-A4TF	4.00E+00	1.23E+00	4.09E+00	8.93E-01	2.17E+00	1.03E+00	1.42E+00
TCGA-MP-A4TH	1.70E+00	2.91E-01	1.93E+00	1.76E-01	1.40E+00	7.51E-01	8.79E-01
TCGA-MP-A4TI	1.52E+00	7.05E-01	1.26E+00	1.80E+00	1.15E+00	9.87E-01	1.86E+00
TCGA-MP-A4TJ	1.07E+00	4.54E-01	1.45E+00	2.69E-01	1.35E+00	9.09E-01	8.04E-01
TCGA-MP-A4TK	3.10E+00	1.15E+00	3.45E+00	9.20E-01	1.81E+00	7.92E-01	1.25E+00
TCGA-MP-A5C7	9.75E-01	3.63E-01	1.29E+00	2.88E-01	1.30E+00	8.84E-01	7.47E-01
TCGA-NJ-A4YF	6.05E+00	1.88E+00	6.22E+00	1.01E+00	2.42E+00	1.22E+00	8.57E-01
TCGA-NJ-A4YG	1.51E+00	6.15E-01	1.75E+00	7.92E-01	1.43E+00	1.01E+00	7.15E-01
TCGA-NJ-A4YI	3.91E+00	1.28E+00	4.01E+00	8.20E-01	2.34E+00	1.41E+00	1.02E+00
TCGA-NJ-A4YP	2.56E+00	8.74E-01	2.96E+00	4.08E+00	1.67E+00	8.55E-01	4.28E+00
TCGA-NJ-A4YQ	8.84E+00	2.29E+00	9.15E+00	1.25E+00	4.32E+00	1.42E+00	1.70E+00
TCGA-NJ-A55A	1.59E+00	6.01E-01	1.78E+00	4.05E-01	1.27E+00	6.23E-01	2.80E-01
TCGA-NJ-A55O	1.69E+00	6.59E-01	1.73E+00	4.40E-01	7.86E-01	6.51E-01	2.05E-01
TCGA-NJ-A55R	2.59E+00	8.59E-01	2.87E+00	6.95E-01	1.72E+00	8.52E-01	1.00E+00
TCGA-NJ-A7XG	6.27E-01	1.68E-01	7.15E-01	1.13E-01	5.76E-01	5.43E-01	2.01E-01
TCGA-O1-A52J	1.86E+00	7.28E-01	2.11E+00	5.44E-01	1.50E+00	8.18E-01	6.35E-01
TCGA-S2-AA1A	1.72E+00	7.24E-01	1.76E+00	3.36E-01	9.15E-01	6.87E-01	2.63E-01
