Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-50-5072	1.83E+00	8.97E-01	2.29E+00	7.82E-01	1.50E+00	7.49E-01	1.09E+00
TCGA-50-5930	1.02E+01	2.34E+00	1.08E+01	1.22E+00	4.59E+00	1.32E+00	1.17E+00
TCGA-50-5931	2.80E+00	1.19E+00	2.73E+00	7.55E-01	1.97E+00	1.00E+00	5.19E-01
TCGA-50-5932	1.35E+00	5.70E-01	1.25E+00	2.68E-01	6.69E-01	4.26E-01	1.63E-01
TCGA-50-5933	4.61E+00	1.45E+00	4.84E+00	1.23E+00	2.34E+00	1.53E+00	1.25E+00
TCGA-50-5935	4.82E-01	0.00E+00	1.26E+00	7.86E-01	1.16E+00	8.67E-01	6.60E-01
TCGA-50-5936	1.03E+00	3.41E-01	1.38E+00	9.56E-01	9.74E-01	5.63E-01	1.10E+00
TCGA-50-5939	8.48E-01	2.11E-01	1.21E+00	7.15E-01	1.13E+00	6.95E-01	1.22E+00
TCGA-50-5941	3.58E+00	1.22E+00	4.45E+00	1.01E+00	2.89E+00	1.01E+00	1.00E+00
TCGA-50-5942	9.11E-01	3.55E-01	1.05E+00	1.40E-01	8.38E-01	5.63E-01	6.62E-01
TCGA-50-5944	7.64E-01	2.47E-01	1.38E+00	4.60E-01	9.09E-01	8.71E-01	5.07E-01
TCGA-50-5946	8.44E+00	2.47E+00	8.61E+00	2.75E+00	5.20E+00	2.79E+00	2.98E+00
TCGA-50-6590	6.69E+00	2.00E+00	6.75E+00	2.05E+00	3.78E+00	7.75E-01	1.73E+00
TCGA-50-6591	4.53E-01	3.12E-01	1.06E+00	4.16E-01	8.62E-01	7.23E-01	6.02E-01
TCGA-50-6592	2.55E+00	8.12E-01	2.67E+00	1.10E+00	2.02E+00	1.02E+00	1.35E+00
TCGA-50-6593	2.79E+00	9.91E-01	3.28E+00	7.71E-01	2.42E+00	8.82E-01	1.41E+00
TCGA-50-6594	4.70E+00	1.59E+00	4.82E+00	9.66E-01	2.66E+00	1.01E+00	1.13E+00
TCGA-50-6595	1.07E+00	4.13E-01	1.54E+00	8.54E-01	1.09E+00	8.39E-01	8.36E-01
TCGA-50-6597	4.10E-01	1.04E-01	8.59E-01	5.39E-01	6.52E-01	8.36E-01	9.10E-01
TCGA-50-6673	7.75E-02	5.37E-01	9.08E-01	4.14E-01	9.36E-01	7.39E-01	6.59E-01
TCGA-50-7109	2.50E+00	7.68E-01	2.66E+00	5.69E-01	1.84E+00	1.06E+00	6.54E-01
TCGA-50-8457	9.00E-01	3.47E-01	1.07E+00	3.98E-01	8.68E-01	6.59E-01	4.67E-01
TCGA-50-8459	1.41E+00	5.18E-01	1.47E+00	4.11E-01	9.85E-01	6.89E-01	5.76E-01
TCGA-50-8460	9.57E-02	1.78E-01	5.89E-01	3.34E-01	4.80E-01	5.05E-01	6.74E-01
TCGA-53-7624	5.95E+00	1.78E+00	5.91E+00	1.77E+00	3.77E+00	1.40E+00	1.83E+00
TCGA-53-7626	4.16E+00	2.85E+00	3.59E+00	1.02E+00	2.06E+00	3.65E-01	7.03E-01
TCGA-53-7813	1.92E+00	6.15E-01	2.05E+00	2.69E-01	1.36E+00	7.36E-01	5.44E-01
TCGA-53-A4EZ	5.06E+00	1.58E+00	5.47E+00	9.54E-01	2.79E+00	1.23E+00	1.55E+00
TCGA-55-1592	3.93E+00	1.27E+00	5.24E+00	1.50E+00	4.05E+00	1.75E+00	2.51E+00
TCGA-55-1594	1.63E+00	4.50E-01	1.96E+00	1.07E+00	1.25E+00	1.03E+00	1.23E+00
TCGA-55-1595	3.32E+00	1.22E+00	3.49E+00	6.98E-01	2.15E+00	9.25E-01	1.15E+00
TCGA-55-1596	2.32E+00	7.85E-01	2.86E+00	4.93E-01	1.92E+00	1.04E+00	1.33E+00
TCGA-55-5899	3.65E+00	1.21E+00	4.14E+00	1.48E+00	2.46E+00	1.30E+00	1.18E+00
TCGA-55-6543	6.82E-02	1.32E-01	3.81E-01	2.01E-01	3.88E-01	3.79E-01	3.21E-01
TCGA-55-6642	1.78E+00	8.88E-01	1.72E+00	4.53E-01	8.22E-01	7.59E-01	5.31E-01
TCGA-55-6712	9.93E-01	4.70E-01	1.13E+00	1.09E+00	9.58E-01	8.44E-01	8.01E-01
TCGA-55-6968	2.63E+00	8.28E-01	2.51E+00	2.76E+00	1.84E+00	8.77E-01	2.77E+00
TCGA-55-6969	4.29E+00	1.39E+00	4.14E+00	9.41E-01	3.26E+00	5.38E-01	1.93E+00
TCGA-55-6970	2.09E+00	7.99E-01	2.06E+00	5.18E-01	1.42E+00	7.28E-01	6.20E-01
TCGA-55-6971	1.48E+00	9.99E-01	1.58E+00	4.24E-01	1.05E+00	5.32E-01	5.90E-01
TCGA-55-6972	2.26E+00	8.95E-01	2.80E+00	1.94E+00	1.48E+00	8.52E-01	1.76E+00
TCGA-55-6975	1.22E+00	4.51E-01	1.27E+00	4.74E-01	9.68E-01	6.70E-01	6.31E-01
TCGA-55-6978	3.36E-01	4.35E-01	6.79E-01	0.00E+00	7.41E-01	5.30E-01	5.82E-01
TCGA-55-6979	1.85E+00	1.76E+00	1.21E+00	9.00E-01	1.04E+00	7.82E-02	1.51E-01
TCGA-55-6980	1.09E-01	3.12E-01	5.12E-01	5.63E-02	4.49E-01	3.94E-01	2.92E-01
TCGA-55-6981	8.53E-02	8.18E-01	3.05E-01	3.96E-01	6.77E-01	7.36E-01	4.01E-01
TCGA-55-6982	4.90E-01	6.09E-01	1.11E+00	1.54E+00	9.73E-01	9.29E-01	1.44E+00
TCGA-55-6983	1.54E+00	6.84E-01	1.62E+00	3.91E-01	1.29E+00	9.21E-01	5.29E-01
TCGA-55-6984	4.86E-01	4.84E-01	5.44E-01	1.41E-01	3.52E-01	5.63E-01	2.27E-01
TCGA-55-6985	4.37E+00	1.52E+00	4.28E+00	7.56E-01	2.60E+00	1.12E+00	9.46E-01
TCGA-55-6986	2.35E-01	2.53E-01	4.97E-01	1.60E-01	3.97E-01	6.00E-01	9.36E-02
TCGA-55-6987	2.08E+00	8.95E-01	1.82E+00	1.02E+00	1.38E+00	7.13E-01	7.78E-01
TCGA-55-7227	1.97E+00	6.84E-01	2.17E+00	5.58E-01	1.39E+00	7.88E-01	1.04E+00
TCGA-55-7281	9.44E+00	2.03E+00	1.13E+01	1.44E+00	5.09E+00	1.79E+00	1.99E+00
TCGA-55-7283	4.09E+00	1.30E+00	5.69E+00	1.62E+00	3.13E+00	2.61E+00	2.18E+00
TCGA-55-7284	1.41E-01	0.00E+00	4.75E-01	1.23E-01	4.85E-01	6.20E-01	5.19E-01
TCGA-55-7570	5.70E+00	1.53E+00	7.24E+00	1.71E+00	4.86E+00	1.71E+00	2.35E+00
TCGA-55-7573	9.71E-01	3.26E-01	1.12E+00	4.23E-01	7.95E-01	4.22E-01	6.63E-01
TCGA-55-7574	5.27E+00	1.04E+00	7.01E+00	2.03E+00	3.33E+00	6.99E-01	2.37E+00
TCGA-55-7576	5.83E+00	1.58E+00	6.42E+00	1.44E+00	4.20E+00	2.34E+00	2.27E+00
TCGA-55-7724	2.09E+00	7.95E-01	2.52E+00	9.47E-01	2.17E+00	1.12E+00	1.17E+00
TCGA-55-7725	1.61E+00	7.42E-01	1.86E+00	3.58E-01	1.23E+00	6.38E-01	5.34E-01
TCGA-55-7726	6.36E-01	3.10E-01	9.33E-01	7.90E-01	8.79E-01	7.02E-01	6.10E-01
TCGA-55-7727	1.81E+00	6.87E-01	2.06E+00	1.58E+00	1.55E+00	9.30E-01	1.68E+00
TCGA-55-7728	1.51E+00	5.90E-01	1.65E+00	3.33E-01	5.50E-01	5.69E-01	4.29E-02
TCGA-55-7815	2.02E+00	6.54E-01	2.27E+00	5.20E-01	1.21E+00	7.94E-01	6.84E-01
TCGA-55-7816	0.00E+00	0.00E+00	2.00E-02	0.00E+00	0.00E+00	2.81E-02	2.00E-02
TCGA-55-7903	1.42E+00	7.24E-01	1.53E+00	7.98E-01	1.53E+00	9.36E-01	9.84E-01
TCGA-55-7907	8.60E+00	2.02E+00	9.36E+00	2.17E+00	4.46E+00	1.57E+00	2.06E+00
TCGA-55-7910	2.94E+00	1.13E+00	3.16E+00	6.20E-01	1.76E+00	1.07E+00	4.23E-01
TCGA-55-7911	2.46E+00	8.01E-01	2.68E+00	7.67E-01	1.33E+00	9.29E-01	8.67E-01
TCGA-55-7913	3.35E+00	1.05E+00	3.24E+00	9.34E-01	2.11E+00	1.11E+00	1.09E+00
TCGA-55-7914	1.80E+00	6.25E-01	1.77E+00	5.88E-01	1.46E+00	9.79E-01	8.03E-01
TCGA-55-7994	1.03E+01	2.80E+00	1.05E+01	1.97E+00	5.42E+00	2.22E+00	1.82E+00
TCGA-55-7995	5.39E+00	1.51E+00	5.46E+00	1.52E+00	3.76E+00	1.07E+00	2.21E+00
TCGA-55-8085	1.96E+00	7.80E-01	2.18E+00	1.40E+00	1.40E+00	1.06E+00	1.30E+00
TCGA-55-8087	3.09E-01	1.36E-01	5.22E-01	4.25E-01	4.91E-01	5.44E-01	2.99E-01
TCGA-55-8089	8.76E+00	2.04E+00	9.05E+00	3.70E+00	4.69E+00	1.74E+00	3.15E+00
TCGA-55-8090	1.18E+00	5.34E-01	1.53E+00	3.55E-01	1.24E+00	5.39E-01	4.94E-01
TCGA-55-8091	4.65E-01	0.00E+00	5.88E-01	8.22E-02	4.50E-01	5.17E-01	1.15E-01
TCGA-55-8092	4.18E+00	1.45E+00	4.38E+00	2.34E+00	2.32E+00	1.53E+00	2.93E+00
TCGA-55-8094	3.88E+00	1.40E+00	3.84E+00	7.16E-01	1.99E+00	1.16E+00	1.64E+00
TCGA-55-8096	1.84E+00	5.30E-01	1.82E+00	5.99E-01	8.14E-01	7.62E-01	5.68E-01
TCGA-55-8097	1.24E+00	5.66E-01	1.56E+00	5.20E-01	1.16E+00	8.61E-01	9.64E-01
TCGA-55-8203	4.38E+00	1.28E+00	4.43E+00	6.47E-01	2.32E+00	1.20E+00	5.78E-01
TCGA-55-8204	2.13E+00	4.97E-01	2.52E+00	1.34E+00	1.49E+00	9.24E-01	1.20E+00
TCGA-55-8205	4.09E+00	1.15E+00	4.00E+00	1.74E+00	2.74E+00	8.13E-01	1.78E+00
TCGA-55-8206	4.00E-01	1.43E-01	5.21E-01	3.64E-01	5.51E-01	6.05E-01	4.20E-01
TCGA-55-8207	2.83E+00	9.56E-01	3.13E+00	6.44E-01	2.32E+00	1.18E+00	5.09E-01
TCGA-55-8208	2.18E+00	7.29E-01	2.62E+00	1.71E+00	2.11E+00	8.84E-01	1.74E+00
TCGA-55-8299	3.88E+00	1.25E+00	4.54E+00	9.40E-01	2.86E+00	1.06E+00	1.35E+00
TCGA-55-8301	2.66E+00	1.08E+00	3.23E+00	8.01E-01	2.28E+00	1.03E+00	1.01E+00
TCGA-55-8302	6.11E+00	1.56E+00	6.65E+00	1.11E+00	3.36E+00	1.53E+00	2.77E-01
TCGA-55-8505	2.91E-01	2.19E-02	6.10E-01	4.20E-01	6.46E-01	5.41E-01	4.10E-01
TCGA-55-8506	8.65E+00	2.71E+00	9.90E+00	1.38E+00	5.77E+00	4.92E+00	2.72E+00
TCGA-55-8507	7.95E+00	2.54E+00	8.48E+00	1.55E+00	4.28E+00	1.58E+00	1.82E+00
TCGA-55-8508	2.12E+00	8.44E-01	2.17E+00	6.67E-01	1.31E+00	1.01E+00	9.87E-01
TCGA-55-8510	2.98E+00	1.22E+00	3.09E+00	9.41E-01	1.68E+00	8.64E-01	9.79E-01
TCGA-55-8511	4.45E+00	1.58E+00	4.85E+00	1.40E+00	2.45E+00	1.37E+00	1.87E+00
TCGA-55-8512	6.98E-01	3.21E-01	9.37E-01	2.64E-01	7.31E-01	5.39E-01	3.50E-01
TCGA-55-8513	2.43E-02	0.00E+00	9.82E-02	1.00E-02	6.08E-02	2.00E-01	1.66E-01
TCGA-55-8514	2.94E+00	1.09E+00	3.07E+00	5.85E-01	1.75E+00	1.25E+00	5.84E-01
TCGA-55-8614	1.93E+00	5.79E-01	2.45E+00	7.83E-01	2.09E+00	1.24E+00	9.46E-01
TCGA-55-8615	1.54E+00	4.83E-01	1.87E+00	3.95E-01	1.55E+00	8.30E-01	1.00E+00
TCGA-55-8616	4.42E+00	1.70E+00	4.33E+00	7.61E-01	1.81E+00	1.17E+00	5.63E-01
TCGA-55-8619	2.81E-01	3.62E-02	2.72E-01	1.18E-01	3.69E-01	3.18E-01	2.22E-01
TCGA-55-8620	4.49E+00	1.35E+00	4.88E+00	7.90E-01	3.30E+00	1.47E+00	9.54E-01
TCGA-55-8621	1.21E+00	4.08E-01	1.08E+00	4.51E-01	1.17E+00	5.83E-01	5.05E-01
TCGA-55-A48X	3.84E+00	1.23E+00	4.35E+00	9.77E-01	2.18E+00	1.03E+00	8.77E-01
TCGA-55-A48Y	8.37E-01	4.05E-01	1.11E+00	2.36E+00	7.53E-01	9.51E-01	2.46E+00
TCGA-55-A48Z	8.39E-01	2.05E-01	9.48E-01	3.32E-01	7.01E-01	6.13E-01	5.41E-01
TCGA-55-A490	1.04E+01	2.88E+00	1.13E+01	1.68E+00	5.12E+00	1.57E+00	1.75E+00
TCGA-55-A491	3.22E+00	1.34E+00	3.01E+00	8.94E-01	2.41E+00	1.16E+00	1.08E+00
TCGA-55-A492	2.79E+00	9.28E-01	3.25E+00	7.18E-01	1.92E+00	1.16E+00	1.23E+00
TCGA-55-A493	2.24E+00	6.58E-01	2.49E+00	1.28E+00	1.43E+00	1.01E+00	1.28E+00
TCGA-55-A494	2.20E+00	7.54E-01	2.36E+00	5.92E-01	1.25E+00	1.06E+00	7.21E-01
TCGA-55-A4DF	2.35E+00	1.10E+00	2.73E+00	4.02E+00	2.31E+00	1.51E+00	3.93E+00
TCGA-55-A4DG	6.65E+00	2.06E+00	7.37E+00	1.08E+00	3.39E+00	1.35E+00	8.59E-01
TCGA-55-A57B	4.10E-01	1.72E-01	6.70E-01	4.15E-01	7.10E-01	6.24E-01	2.30E-01
TCGA-62-8394	8.62E-01	4.37E-01	1.71E+00	8.75E-01	1.66E+00	7.64E-01	1.18E+00
TCGA-62-8395	3.32E-01	1.85E-01	9.70E-01	6.20E-01	9.85E-01	8.15E-01	4.92E-01
TCGA-62-8397	4.48E-01	1.65E-01	4.59E-01	1.25E-01	2.37E-01	4.60E-01	4.73E-01
TCGA-62-8398	9.85E-01	4.08E-01	1.22E+00	4.76E-01	1.07E+00	8.99E-01	8.38E-01
TCGA-62-8399	3.31E+00	1.42E+00	3.77E+00	1.66E+00	2.00E+00	1.35E+00	1.45E+00
TCGA-62-8402	6.22E-01	1.00E-02	1.09E+00	4.25E-01	7.88E-01	7.66E-01	4.63E-01
TCGA-62-A46O	6.28E+00	1.97E+00	6.71E+00	1.69E+00	3.67E+00	1.49E+00	1.73E+00
TCGA-62-A46P	3.02E+00	1.11E+00	3.24E+00	5.31E-01	1.96E+00	1.05E+00	6.04E-01
TCGA-62-A46R	1.52E+00	6.82E-01	1.74E+00	8.69E-01	1.62E+00	9.38E-01	1.28E+00
TCGA-62-A46S	1.38E+00	6.19E-01	1.51E+00	6.00E-01	8.24E-01	8.53E-01	1.22E+00
TCGA-62-A46U	6.68E-01	1.64E-01	7.81E-01	3.56E-01	6.32E-01	5.93E-01	3.99E-01
TCGA-62-A46V	5.40E-01	2.08E-01	9.01E-01	3.53E-01	8.69E-01	7.63E-01	9.30E-01
TCGA-62-A46Y	3.49E-01	0.00E+00	5.32E-01	1.63E-01	3.14E-01	6.92E-01	6.97E-01
TCGA-62-A470	1.50E+00	4.75E-01	1.86E+00	5.01E-01	1.17E+00	1.01E+00	5.71E-01
TCGA-62-A471	7.61E-02	3.42E-01	9.21E-01	1.05E+00	1.26E+00	6.18E-01	1.13E+00
TCGA-62-A472	7.38E-01	3.02E-01	1.15E+00	2.21E-01	8.59E-01	6.71E-01	7.71E-01
TCGA-64-1676	5.66E+00	1.57E+00	5.92E+00	8.45E-01	2.46E+00	1.26E+00	1.01E+00
TCGA-64-1677	1.59E+00	6.03E-01	2.04E+00	1.22E+00	1.40E+00	7.85E-01	9.38E-01
TCGA-64-1679	5.23E+00	1.32E+00	5.20E+00	1.05E+00	1.87E+00	7.56E-01	1.22E+00
TCGA-64-1680	4.98E-01	0.00E+00	7.58E-01	7.11E-01	2.91E-01	8.47E-01	6.32E-01
TCGA-64-1681	4.72E-01	1.28E-01	1.22E+00	6.21E-01	1.07E+00	7.06E-01	1.02E+00
TCGA-64-5774	2.07E+00	7.85E-01	2.00E+00	4.91E-01	1.27E+00	7.20E-01	3.70E-01
TCGA-64-5775	4.27E+00	1.36E+00	4.41E+00	8.35E-01	2.62E+00	1.37E+00	5.99E-01
TCGA-64-5778	4.18E+00	1.41E+00	4.49E+00	9.73E-01	2.38E+00	1.21E+00	1.04E+00
TCGA-64-5779	3.59E+00	1.28E+00	3.48E+00	7.18E-01	2.01E+00	1.12E+00	9.74E-01
TCGA-64-5781	9.96E+00	2.31E+00	9.94E+00	2.45E+00	4.22E+00	1.69E+00	2.83E+00
TCGA-64-5815	2.30E+00	8.25E-01	2.55E+00	4.30E-01	9.74E-01	1.01E+00	4.07E-01
TCGA-67-3770	2.04E+00	8.92E-01	2.61E+00	5.11E-01	1.58E+00	9.69E-01	1.00E+00
TCGA-67-3771	5.91E+00	1.95E+00	5.40E+00	2.93E+00	4.89E+00	1.85E+00	2.83E+00
TCGA-67-3772	6.23E-01	1.06E-01	1.28E+00	5.53E-01	1.17E+00	8.24E-01	6.15E-01
TCGA-67-3773	1.43E+00	5.11E-01	1.63E+00	1.73E-01	1.18E+00	7.72E-01	7.77E-01
TCGA-67-3774	1.58E+00	4.70E-01	1.90E+00	4.77E-01	1.32E+00	7.72E-01	5.78E-01
TCGA-67-4679	3.48E+00	8.45E-01	3.53E+00	6.43E-01	1.94E+00	9.40E-01	6.81E-01
TCGA-67-6215	0.00E+00	1.10E-01	1.15E+00	7.20E-02	1.98E+00	5.12E-01	2.25E+00
TCGA-67-6216	1.76E-01	1.84E-01	5.88E-01	3.86E-01	6.29E-01	5.54E-01	2.09E-01
TCGA-67-6217	1.82E+00	1.00E+00	2.13E+00	5.88E-01	1.40E+00	1.18E+00	1.20E+00
TCGA-69-7760	7.93E-01	1.20E-01	7.97E-01	4.28E-01	9.24E-01	6.74E-01	7.79E-01
TCGA-69-7761	5.72E-01	1.62E-01	6.28E-01	1.65E-01	5.96E-01	4.04E-01	4.46E-01
TCGA-69-7763	9.91E-01	4.60E-01	1.26E+00	1.67E-01	9.09E-01	7.98E-01	6.31E-01
TCGA-69-7764	1.06E+00	3.84E-01	1.49E+00	4.90E-01	1.52E+00	8.74E-01	6.37E-01
TCGA-69-7765	5.40E+00	1.63E+00	4.90E+00	1.45E+00	3.00E+00	9.05E-01	1.38E+00
TCGA-69-7973	2.35E+00	1.07E+00	2.72E+00	7.02E-01	1.34E+00	9.55E-01	7.43E-01
TCGA-69-7974	4.36E+00	1.43E+00	4.30E+00	8.62E-01	2.84E+00	1.36E+00	8.17E-01
TCGA-69-7978	4.63E+00	1.31E+00	5.34E+00	1.75E+00	2.77E+00	1.16E+00	1.55E+00
TCGA-69-7979	1.25E+01	3.40E+00	1.27E+01	1.79E+00	5.28E+00	1.89E+00	1.06E+00
TCGA-69-7980	4.94E+00	1.66E+00	5.27E+00	1.66E+00	3.91E+00	1.47E+00	1.69E+00
TCGA-69-8253	2.36E+00	6.83E-01	2.76E+00	7.46E-01	1.07E+00	6.73E-01	8.38E-01
TCGA-69-8254	1.07E+00	3.25E-01	1.42E+00	1.54E-01	9.64E-01	8.21E-01	8.40E-01
TCGA-69-8255	2.07E+00	9.73E-01	2.37E+00	9.75E-01	2.12E+00	1.15E+00	1.50E+00
TCGA-69-A59K	4.49E+00	1.90E+00	4.58E+00	1.11E+00	2.01E+00	1.34E+00	8.99E-01
TCGA-71-6725	3.95E-01	3.55E-01	5.62E-01	4.06E-01	7.29E-01	8.56E-01	5.45E-01
TCGA-71-8520	7.35E-01	3.34E-01	9.14E-01	5.00E-01	9.68E-01	9.43E-01	7.17E-01
TCGA-73-4658	2.29E+00	9.38E-01	2.69E+00	1.76E+00	1.60E+00	1.43E+00	1.57E+00
TCGA-73-4659	2.49E+00	7.64E-01	2.61E+00	6.22E-01	1.31E+00	9.89E-01	4.62E-01
TCGA-73-4662	2.36E+00	7.26E-01	2.50E+00	7.46E-01	1.52E+00	9.46E-01	9.65E-01
TCGA-73-4666	3.51E+00	1.22E+00	3.61E+00	8.30E-01	2.17E+00	1.13E+00	1.29E+00
TCGA-73-4668	4.67E+00	1.61E+00	4.66E+00	7.94E-01	3.04E+00	1.37E+00	3.25E-01
TCGA-73-4670	3.81E+00	1.20E+00	4.24E+00	9.47E-01	2.09E+00	1.37E+00	1.61E+00
TCGA-73-4675	2.76E-01	4.11E-01	1.13E+00	3.39E-01	1.14E+00	7.34E-01	8.34E-01
TCGA-73-4676	1.11E+00	3.72E-01	1.72E+00	2.82E-01	1.41E+00	6.96E-01	8.53E-01
TCGA-73-4677	2.43E+00	9.31E-01	2.93E+00	6.47E-01	1.68E+00	1.14E+00	8.65E-01
TCGA-73-7498	1.63E+00	6.33E-01	1.77E+00	3.01E-01	9.44E-01	7.83E-01	6.39E-01
TCGA-73-7499	5.30E-01	1.27E-01	1.25E+00	5.83E-01	1.13E+00	7.63E-01	3.06E-01
TCGA-73-A9RS	7.29E+00	2.21E+00	7.66E+00	1.47E+00	3.32E+00	1.27E+00	1.36E+00
TCGA-75-5122	1.37E+00	4.28E-01	1.49E+00	7.49E-01	1.21E+00	8.50E-01	6.87E-01
TCGA-75-5125	1.63E+00	5.40E-01	1.95E+00	7.50E-01	1.28E+00	8.99E-01	8.26E-01
TCGA-75-5126	4.61E+00	1.59E+00	4.81E+00	1.77E+00	2.60E+00	1.07E+00	1.45E+00
TCGA-75-5146	2.32E+00	8.16E-01	2.32E+00	5.77E-01	1.38E+00	4.18E-01	8.87E-01
TCGA-75-5147	2.78E-01	8.91E-02	4.99E-01	4.33E-01	4.51E-01	4.96E-01	5.19E-01
TCGA-75-6203	1.02E-01	9.83E-02	1.82E-01	0.00E+00	1.98E-01	2.75E-01	1.09E-01
TCGA-75-6205	5.04E-01	2.71E-01	1.08E+00	4.61E-01	1.01E+00	5.27E-01	7.26E-01
TCGA-75-6206	1.40E+00	3.31E-01	1.36E+00	5.40E-01	1.28E+00	5.18E-01	2.97E-01
TCGA-75-6207	5.93E-01	2.28E-01	1.17E+00	5.87E-01	1.05E+00	9.08E-01	5.73E-01
TCGA-75-6211	3.51E+00	1.32E+00	3.22E+00	8.15E-01	1.92E+00	1.15E+00	7.77E-01
TCGA-75-6212	1.07E-01	1.10E-01	3.19E-01	2.35E-01	2.40E-01	4.24E-01	2.18E-01
TCGA-75-6214	5.64E+00	1.72E+00	6.12E+00	1.97E+00	2.90E+00	1.48E+00	1.65E+00
TCGA-75-7025	1.82E-01	1.59E-01	4.96E-01	3.94E-01	6.39E-01	6.39E-01	4.86E-01
TCGA-75-7027	2.54E+00	9.17E-01	2.87E+00	5.44E-01	1.40E+00	9.53E-01	8.54E-01
TCGA-75-7030	1.87E-01	1.95E-01	2.48E-01	0.00E+00	2.37E-01	3.48E-01	2.10E-01
TCGA-75-7031	2.05E+00	6.94E-01	2.38E+00	8.07E-01	1.78E+00	9.91E-01	1.34E+00
TCGA-78-7145	2.56E+00	8.73E-01	2.71E+00	6.52E-01	9.68E-01	8.25E-01	6.31E-01
TCGA-78-7146	3.31E+00	1.25E+00	3.41E+00	1.44E+00	1.75E+00	9.60E-01	1.01E+00
TCGA-78-7147	3.01E+00	8.17E-01	3.40E+00	1.11E+00	2.88E+00	1.10E+00	1.62E+00
TCGA-78-7148	2.23E+00	7.91E-01	2.57E+00	6.44E-01	1.71E+00	1.10E+00	1.20E+00
TCGA-78-7149	1.27E+00	4.60E-01	1.66E+00	1.02E+00	1.20E+00	9.77E-01	9.23E-01
TCGA-78-7150	3.05E+00	8.75E-01	3.78E+00	1.82E+00	2.43E+00	1.27E+00	1.75E+00
TCGA-78-7152	1.61E+00	5.93E-01	1.78E+00	1.21E+00	1.32E+00	8.97E-01	1.15E+00
TCGA-78-7153	1.20E+00	4.13E-01	1.68E+00	7.71E-01	1.37E+00	1.00E+00	7.49E-01
TCGA-78-7154	1.33E+00	6.32E-01	1.81E+00	1.38E+00	1.96E+00	1.41E+00	1.72E+00
TCGA-78-7155	1.22E+01	2.98E+00	1.20E+01	2.03E+00	5.68E+00	1.58E+00	3.00E+00
TCGA-78-7156	2.42E+00	9.95E-01	2.64E+00	1.88E+00	1.38E+00	1.21E+00	1.57E+00
TCGA-78-7158	2.21E+00	1.11E+00	2.63E+00	1.00E+00	1.38E+00	1.01E+00	1.08E+00
TCGA-78-7159	3.54E+00	1.27E+00	3.63E+00	6.35E-01	2.10E+00	9.55E-01	1.09E+00
TCGA-78-7160	8.94E-01	4.03E-01	1.16E+00	3.55E-01	9.32E-01	5.06E-01	4.31E-01
TCGA-78-7161	2.04E+00	9.97E-01	1.98E+00	5.88E-01	1.60E+00	8.70E-01	8.71E-01
TCGA-78-7162	1.17E+00	4.02E-01	1.51E+00	6.12E-01	1.14E+00	8.41E-01	7.46E-01
TCGA-78-7163	5.61E-01	5.00E-01	5.89E-01	1.42E-01	4.85E-01	4.82E-01	2.87E-01
TCGA-78-7166	2.49E+00	9.70E-01	2.45E+00	5.50E-01	1.34E+00	8.43E-01	1.21E+00
TCGA-78-7167	1.36E+00	5.88E-01	1.04E+00	7.99E-01	9.96E-01	7.72E-01	6.35E-01
TCGA-78-7220	6.69E+00	1.74E+00	7.42E+00	2.07E+00	3.17E+00	1.44E+00	2.54E+00
TCGA-78-7535	1.83E+00	7.02E-01	1.99E+00	3.91E-01	1.84E+00	7.00E-01	1.50E+00
TCGA-78-7536	5.30E+00	1.92E+00	5.14E+00	6.98E-01	3.29E+00	1.22E+00	2.08E+00
TCGA-78-7537	1.76E+00	4.75E-01	1.98E+00	6.17E-01	1.23E+00	4.83E-01	7.24E-01
TCGA-78-7539	2.22E+00	9.07E-01	2.53E+00	2.09E+00	2.13E+00	1.33E+00	1.98E+00
TCGA-78-7540	2.91E-01	6.64E-01	7.44E-02	2.09E-01	2.19E-01	6.67E-01	3.15E-02
TCGA-78-7542	3.50E+00	1.29E+00	3.30E+00	1.20E+00	1.77E+00	1.26E+00	1.73E+00
TCGA-78-7633	1.70E+00	9.95E-01	1.90E+00	4.62E-01	1.27E+00	7.29E-01	4.17E-01
TCGA-78-8640	6.03E+00	1.53E+00	6.18E+00	1.80E+00	3.52E+00	1.32E+00	2.27E+00
TCGA-78-8648	3.76E-01	1.80E-01	4.10E-01	0.00E+00	2.79E-01	3.01E-01	1.55E-01
TCGA-78-8655	1.30E+00	6.11E-01	1.40E+00	4.20E-01	1.09E+00	7.64E-01	6.91E-01
TCGA-78-8660	2.59E+00	8.15E-01	2.78E+00	1.08E+00	1.98E+00	1.22E+00	1.42E+00
TCGA-78-8662	8.51E+00	2.31E+00	8.81E+00	1.76E+00	4.56E+00	1.64E+00	2.26E+00
TCGA-80-5607	4.95E-01	1.91E-01	7.99E-01	1.12E+00	8.49E-01	6.67E-01	1.14E+00
TCGA-80-5608	2.97E+00	1.86E+00	2.40E+00	4.85E-01	1.23E+00	7.99E-01	3.00E-02
TCGA-80-5611	2.09E+00	7.23E-01	2.35E+00	6.44E-01	2.06E+00	8.61E-01	1.15E+00
TCGA-83-5908	2.38E+00	6.97E-01	2.64E+00	1.07E+00	1.55E+00	7.77E-01	5.25E-01
TCGA-86-6562	4.07E-01	2.59E-01	8.33E-01	5.45E-01	6.86E-01	5.90E-01	6.23E-01
