NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	231.21	79.657	38.404	62.963	0.646	0.61	30000.0
2	230.686	79.649	38.315	63.171	0.644	0.606	20000.0
3	230.274	79.061	38.284	62.778	0.64	0.612	20000.0
4	230.888	79.441	38.609	63.06	0.644	0.609	20000.0
5	231.594	79.311	38.493	62.899	0.64	0.612	20000.0
6	230.55	79.178	38.434	62.809	0.641	0.613	20000.0
7	231.309	79.346	38.459	62.931	0.644	0.611	20000.0
8	232.789	80.15	38.716	63.262	0.652	0.608	20000.0
9	231.111	79.658	38.487	63.084	0.643	0.61	20000.0
10	229.996	79.225	38.195	62.832	0.639	0.612	20000.0
11	231.302	79.344	38.392	62.794	0.644	0.612	30000.0
12	232.34	79.882	38.65	63.196	0.646	0.609	20000.0
13	231.843	79.971	38.657	63.387	0.648	0.606	30000.0
14	231.381	79.533	38.431	62.945	0.642	0.61	20000.0
15	231.813	79.755	38.591	63.082	0.643	0.61	20000.0
16	230.353	79.161	38.343	62.898	0.639	0.612	20000.0
17	230.738	79.197	38.348	62.805	0.639	0.613	20000.0
18	231.424	79.473	38.483	62.991	0.642	0.61	30000.0
19	230.69	79.194	38.376	62.839	0.637	0.613	30000.0
20	231.845	79.722	38.621	63.164	0.646	0.608	40000.0
21	230.713	79.393	38.384	62.934	0.64	0.611	40000.0
22	231.17	79.827	38.471	63.082	0.646	0.608	20000.0
23	231.481	79.931	38.372	63.085	0.652	0.608	30000.0
24	229.549	79.083	38.312	62.71	0.639	0.615	20000.0
25	231.741	79.477	38.585	62.999	0.643	0.611	20000.0
26	231.47	79.359	38.555	63.003	0.638	0.611	30000.0
27	231.805	79.725	38.693	63.175	0.649	0.61	20000.0
28	233.138	79.876	38.787	63.309	0.643	0.607	30000.0
29	231.239	79.509	38.514	63.07	0.644	0.609	30000.0
30	231.586	79.623	38.724	63.323	0.642	0.606	20000.0
31	231.235	79.489	38.406	62.795	0.64	0.613	20000.0
32	230.456	79.098	38.243	62.711	0.636	0.615	20000.0
33	231.186	79.36	38.292	62.801	0.643	0.612	30000.0
34	230.772	79.838	38.432	63.091	0.65	0.608	20000.0
35	230.854	79.498	38.317	62.86	0.644	0.612	20000.0
36	230.452	79.203	38.591	62.962	0.645	0.611	20000.0
37	231.298	79.662	38.516	63.054	0.644	0.609	20000.0
38	230.977	79.337	38.458	62.926	0.64	0.612	20000.0
39	229.923	79.447	38.268	63.001	0.646	0.609	20000.0
40	232.366	79.592	38.856	63.241	0.647	0.609	20000.0
41	230.416	79.031	38.372	62.864	0.637	0.612	30000.0
42	230.991	79.562	38.402	63.056	0.643	0.609	20000.0
43	232.375	79.74	38.627	63.133	0.648	0.608	20000.0
44	231.139	79.805	38.504	63.182	0.649	0.607	20000.0
45	232.327	79.922	38.622	63.281	0.647	0.606	30000.0
46	231.92	79.892	38.611	63.353	0.644	0.607	20000.0
47	231.784	79.835	38.675	63.18	0.65	0.607	20000.0
48	231.255	79.462	38.456	63.006	0.644	0.611	20000.0
49	232.445	79.638	38.636	63.029	0.648	0.61	20000.0
50	230.667	79.592	38.325	62.99	0.642	0.61	20000.0
51	230.75	79.238	38.327	62.807	0.644	0.612	30000.0
52	232.254	79.826	38.65	63.186	0.648	0.607	20000.0
53	231.568	79.287	38.603	62.961	0.638	0.612	20000.0
54	231.427	79.761	38.653	63.208	0.65	0.607	20000.0
55	230.365	79.562	38.199	62.906	0.642	0.611	30000.0
56	231.531	79.654	38.587	62.919	0.646	0.612	20000.0
57	231.615	79.611	38.557	63.125	0.645	0.609	20000.0
58	230.94	79.376	38.446	62.922	0.643	0.612	20000.0
59	231.329	79.312	38.676	63.103	0.644	0.609	40000.0
60	230.603	79.59	38.254	63.002	0.646	0.61	30000.0
61	231.919	79.537	38.644	63.131	0.642	0.609	40000.0
62	231.953	80.009	38.613	63.252	0.651	0.606	20000.0
63	232.218	79.811	38.668	63.103	0.645	0.608	30000.0
64	231.209	79.517	38.272	62.821	0.643	0.612	20000.0
65	231.752	79.462	38.422	63.052	0.64	0.609	40000.0
66	231.18	79.448	38.503	62.987	0.647	0.609	20000.0
67	232.306	79.672	38.736	63.181	0.644	0.609	20000.0
68	230.244	79.608	38.508	63.181	0.645	0.607	20000.0
69	229.788	79.044	38.088	62.751	0.638	0.612	20000.0
70	231.124	79.298	38.299	62.851	0.642	0.612	20000.0
71	230.924	79.299	38.288	62.821	0.639	0.611	20000.0
72	230.706	79.568	38.312	63.118	0.645	0.608	20000.0
73	230.247	79.037	38.29	62.788	0.638	0.612	20000.0
74	230.1	79.259	38.227	62.676	0.639	0.615	30000.0
75	230.243	79.182	38.32	62.871	0.641	0.611	20000.0
76	230.581	79.454	38.419	62.998	0.647	0.61	20000.0
77	232.088	79.551	38.626	63.04	0.642	0.61	40000.0
78	231.93	79.636	38.589	63.187	0.642	0.608	20000.0
79	229.467	79.083	38.206	62.758	0.638	0.614	30000.0
80	229.989	79.14	38.261	62.88	0.639	0.611	20000.0
81	232.761	79.85	38.851	63.253	0.644	0.609	20000.0
82	230.928	79.574	38.643	63.057	0.646	0.61	20000.0
83	231.804	79.492	38.432	62.943	0.639	0.61	20000.0
84	231.892	79.84	38.587	63.254	0.647	0.607	20000.0
85	231.359	79.771	38.504	63.19	0.648	0.606	20000.0
86	232.214	79.978	38.739	63.35	0.648	0.606	20000.0
87	231.132	79.419	38.604	63.145	0.643	0.608	20000.0
88	231.5	79.509	38.42	62.865	0.645	0.612	40000.0
89	230.73	79.37	38.362	62.909	0.641	0.612	20000.0
90	231.946	79.817	38.461	63.153	0.647	0.607	50000.0
91	232.487	79.8	38.731	63.135	0.644	0.609	20000.0
92	230.444	79.267	38.31	62.779	0.637	0.614	30000.0
93	230.712	79.389	38.354	62.977	0.639	0.611	30000.0
94	230.295	79.228	38.283	62.806	0.638	0.612	20000.0
95	230.846	79.645	38.495	63.058	0.643	0.609	20000.0
96	231.268	79.724	38.37	62.978	0.644	0.609	30000.0
97	230.432	79.441	38.276	62.915	0.643	0.611	20000.0
98	231.213	79.302	38.338	62.857	0.64	0.611	30000.0
99	231.905	79.338	38.455	62.92	0.641	0.612	20000.0
100	231.815	79.519	38.579	63.075	0.64	0.611	20000.0
