NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	171.922	62.924	26.153	48.39	0.441	0.782	150000.0
2	171.609	62.812	26.196	48.505	0.441	0.78	50000.0
3	169.792	61.922	25.793	47.848	0.437	0.785	50000.0
4	170.712	62.737	26.208	48.286	0.438	0.782	70000.0
5	171.1	61.995	26.03	47.804	0.432	0.788	100000.0
6	170.312	62.046	26.099	48.111	0.434	0.784	60000.0
7	171.738	62.785	26.254	48.511	0.442	0.78	30000.0
8	171.245	62.988	26.022	48.227	0.443	0.783	80000.0
9	171.132	62.498	26.195	48.182	0.437	0.784	50000.0
10	170.835	62.623	26.109	48.337	0.439	0.78	40000.0
11	171.331	62.975	26.086	48.424	0.45	0.778	50000.0
12	172.856	62.84	26.443	48.458	0.44	0.782	70000.0
13	171.833	62.851	26.299	48.456	0.437	0.78	100000.0
14	171.212	62.601	26.034	47.968	0.439	0.785	60000.0
15	171.743	62.327	26.154	47.926	0.432	0.788	60000.0
16	169.989	62.483	25.997	48.183	0.44	0.782	70000.0
17	171.182	62.786	26.077	48.374	0.439	0.781	70000.0
18	170.806	62.44	26.032	48.054	0.438	0.783	90000.0
19	171.43	62.349	26.071	48.125	0.432	0.785	50000.0
20	170.859	62.62	26.132	48.171	0.441	0.784	60000.0
21	170.914	62.792	26.133	48.293	0.439	0.782	50000.0
22	171.42	63.131	26.161	48.498	0.443	0.78	50000.0
23	171.348	63.126	26.207	48.572	0.45	0.779	80000.0
24	169.551	62.127	26.051	48.131	0.434	0.785	60000.0
25	171.483	62.676	26.207	48.349	0.438	0.782	60000.0
26	171.909	62.756	26.356	48.425	0.437	0.783	50000.0
27	170.419	62.536	26.021	48.21	0.439	0.784	50000.0
28	170.803	62.344	25.891	47.765	0.441	0.787	100000.0
29	171.04	62.427	26.124	48.179	0.436	0.784	40000.0
30	170.999	62.442	26.113	48.135	0.438	0.784	70000.0
31	170.568	62.262	26.104	48.02	0.434	0.785	60000.0
32	170.329	62.337	25.892	47.997	0.436	0.785	40000.0
33	170.521	62.138	26.047	47.995	0.435	0.784	70000.0
34	170.331	62.578	26.085	48.148	0.442	0.784	50000.0
35	171.419	62.822	26.091	48.385	0.44	0.781	60000.0
36	170.779	62.166	26.245	48.116	0.443	0.784	60000.0
37	171.095	62.969	26.025	48.433	0.446	0.779	80000.0
38	170.453	62.971	26.004	48.346	0.442	0.78	60000.0
39	170.631	62.881	26.057	48.511	0.443	0.779	60000.0
40	171.621	62.675	26.201	48.178	0.441	0.783	90000.0
41	171.839	62.786	26.203	48.462	0.438	0.781	60000.0
42	170.818	62.967	26.062	48.415	0.443	0.779	50000.0
43	172.299	63.011	26.277	48.486	0.446	0.779	70000.0
44	171.765	62.665	26.253	48.293	0.439	0.783	60000.0
45	171.499	62.878	26.207	48.406	0.441	0.781	80000.0
46	172.385	62.982	26.329	48.531	0.441	0.781	80000.0
47	171.258	62.994	26.25	48.664	0.443	0.778	50000.0
48	171.221	62.904	26.188	48.546	0.443	0.779	60000.0
49	172.467	63.006	26.368	48.498	0.443	0.781	60000.0
50	169.754	62.56	26.027	48.249	0.438	0.783	60000.0
51	171.249	62.675	26.092	48.288	0.443	0.781	80000.0
52	171.162	62.875	26.003	48.362	0.442	0.78	80000.0
53	171.989	62.633	26.356	48.338	0.439	0.782	50000.0
54	171.683	62.876	26.31	48.41	0.442	0.781	90000.0
55	170.31	62.401	25.929	48.0	0.437	0.784	50000.0
56	170.868	62.484	26.032	47.894	0.438	0.787	50000.0
57	171.833	63.238	26.247	48.636	0.449	0.777	50000.0
58	170.368	62.536	25.968	48.144	0.44	0.784	90000.0
59	171.121	62.371	26.148	48.199	0.435	0.782	60000.0
60	171.089	62.949	26.136	48.501	0.443	0.78	70000.0
61	172.126	62.98	26.361	48.593	0.44	0.78	30000.0
62	170.535	62.576	25.994	48.16	0.442	0.782	110000.0
63	171.573	62.795	26.24	48.248	0.437	0.783	90000.0
64	172.014	62.98	26.226	48.486	0.442	0.781	50000.0
65	171.675	62.861	26.02	48.411	0.44	0.78	50000.0
66	170.429	62.771	26.008	48.316	0.447	0.779	70000.0
67	172.264	63.123	26.208	48.392	0.445	0.78	40000.0
68	171.461	62.597	26.219	48.304	0.436	0.782	70000.0
69	170.939	62.719	25.989	48.191	0.438	0.783	40000.0
70	171.218	62.734	25.909	48.177	0.442	0.782	60000.0
71	171.248	62.656	26.036	48.141	0.439	0.783	30000.0
72	170.391	62.464	25.908	48.129	0.438	0.783	50000.0
73	170.849	62.074	25.919	47.969	0.432	0.786	50000.0
