Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-73-4668	470	89	23	61	7
TCGA-73-4670	178	84	33	48	109
TCGA-73-4675	0	15	5	24	41
TCGA-73-4676	30	8	2	30	44
TCGA-73-4677	173	51	22	38	27
TCGA-73-7498	59	24	3	37	18
TCGA-73-7499	13	1	23	36	12
TCGA-73-A9RS	746	250	100	43	35
TCGA-75-5122	49	15	38	51	15
TCGA-75-5125	88	12	56	40	19
TCGA-75-5126	427	108	238	34	11
TCGA-75-5146	137	51	16	9	26
TCGA-75-5147	0	1	13	23	10
TCGA-75-6203	0	1	0	18	0
TCGA-75-6205	6	5	11	12	28
TCGA-75-6206	61	5	21	12	10
TCGA-75-6207	15	3	19	30	17
TCGA-75-6211	297	68	28	49	18
TCGA-75-6212	1	1	4	14	3
TCGA-75-6214	410	124	236	67	66
TCGA-75-7025	0	2	9	30	2
TCGA-75-7027	199	44	14	32	24
TCGA-75-7030	2	2	0	14	1
TCGA-75-7031	128	20	27	44	47
TCGA-78-7145	157	43	25	33	0
TCGA-78-7146	207	85	141	59	13
TCGA-78-7147	164	54	62	54	104
TCGA-78-7148	115	55	12	39	68
TCGA-78-7149	35	11	110	24	20
TCGA-78-7150	144	41	191	59	86
TCGA-78-7152	96	16	115	24	9
TCGA-78-7153	40	9	35	59	17
TCGA-78-7154	42	19	136	81	55
TCGA-78-7155	1084	345	175	66	198
TCGA-78-7156	136	43	193	47	8
TCGA-78-7158	149	86	57	28	20
TCGA-78-7159	206	111	17	49	37
TCGA-78-7160	25	12	5	11	19
TCGA-78-7161	110	50	17	38	35
TCGA-78-7162	34	8	22	15	24
TCGA-78-7163	25	29	2	14	0
TCGA-78-7166	144	61	14	19	39
TCGA-78-7167	48	15	47	39	6
TCGA-78-7220	557	155	154	67	130
TCGA-78-7535	79	34	6	20	85
TCGA-78-7536	436	223	20	57	110
TCGA-78-7537	98	11	23	14	25
TCGA-78-7539	127	47	379	61	0
TCGA-78-7540	47	273	2	23	0
TCGA-78-7542	233	103	51	47	45
TCGA-78-7633	75	85	11	20	12
TCGA-78-8640	429	104	163	84	137
TCGA-78-8648	7	3	0	7	0
TCGA-78-8655	46	24	10	38	15
TCGA-78-8660	143	24	58	42	41
TCGA-78-8662	830	222	119	86	187
TCGA-80-5607	3	3	137	6	11
TCGA-80-5608	225	244	11	17	0
TCGA-80-5611	88	16	12	32	101
TCGA-83-5908	119	35	119	22	0
TCGA-86-6562	5	6	28	23	14
TCGA-86-6851	691	209	157	34	54
TCGA-86-7701	143	317	17	46	47
TCGA-86-7711	215	55	128	81	85
TCGA-86-7713	168	86	23	57	65
TCGA-86-7714	40	7	4	18	22
TCGA-86-7953	21	2	9	14	19
TCGA-86-7954	94	34	58	60	45
TCGA-86-7955	145	56	39	39	102
TCGA-86-8054	173	25	23	33	22
TCGA-86-8055	7	2	6	40	10
TCGA-86-8056	78	16	197	32	19
TCGA-86-8073	1177	391	141	68	80
TCGA-86-8074	14	5	7	18	35
TCGA-86-8075	2	1	6	36	17
TCGA-86-8076	7	10	27	32	8
TCGA-86-8278	0	0	123	22	0
TCGA-86-8279	392	111	22	47	67
TCGA-86-8280	13	2	4	22	14
TCGA-86-8281	128	71	49	57	33
TCGA-86-8358	877	219	59	128	98
TCGA-86-8359	119	25	17	29	11
TCGA-86-8585	369	95	146	38	66
TCGA-86-8668	4	0	5	31	7
TCGA-86-8669	71	15	16	45	23
TCGA-86-8671	7	0	14	18	8
TCGA-86-8672	152	69	59	50	48
TCGA-86-8673	320	86	61	37	103
TCGA-86-8674	221	75	53	21	16
TCGA-86-A456	226	86	45	35	62
TCGA-86-A4JF	140	141	148	787	438
TCGA-86-A4P7	17	0	32	28	8
TCGA-86-A4P8	0	0	0	0	2
TCGA-91-6828	394	126	77	78	27
TCGA-91-6829	395	134	67	53	174
TCGA-91-6830	20	38	261	3	24
TCGA-91-6831	178	37	16	50	65
TCGA-91-6835	38	9	21	18	30
TCGA-91-6836	350	167	39	69	30
TCGA-91-6840	18	36	97	27	0
TCGA-91-6847	11	22	20	54	15
TCGA-91-6848	352	135	122	34	142
TCGA-91-6849	76	33	12	13	23
TCGA-91-7771	90	27	29	21	84
TCGA-91-8496	3	2	5	26	6
TCGA-91-8497	14	3	7	25	7
TCGA-91-8499	134	44	125	49	45
TCGA-91-A4BC	368	88	35	63	9
TCGA-91-A4BD	0	0	3	18	6
TCGA-93-7347	73	26	14	18	15
TCGA-93-7348	84	26	40	71	50
TCGA-93-8067	35	31	575	34	0
TCGA-93-A4JN	12	8	17	35	26
TCGA-93-A4JO	11	1	16	18	20
TCGA-93-A4JP	15	2	30	22	14
TCGA-93-A4JQ	19	0	69	13	44
TCGA-95-7039	946	324	96	89	165
TCGA-95-7043	879	279	92	107	0
TCGA-95-7562	321	90	13	42	0
TCGA-95-7567	191	141	0	433	382
TCGA-95-7944	24	6	266	6	7
TCGA-95-7947	222	39	267	45	94
TCGA-95-7948	0	1	165	18	0
TCGA-95-8039	17	12	24	34	31
TCGA-95-8494	4	3	78	46	2
TCGA-95-A4VK	191	52	16	56	3
TCGA-95-A4VN	412	89	59	32	0
TCGA-95-A4VP	83	23	4	24	27
TCGA-97-7546	204	68	18	32	33
TCGA-97-7547	94	31	74	33	2
TCGA-97-7552	6	4	0	30	14
TCGA-97-7553	16	5	4	26	0
TCGA-97-7554	367	77	29	55	46
TCGA-97-7937	304	123	41	76	20
TCGA-97-7938	271	99	66	49	21
TCGA-97-7941	60	11	21	29	2
TCGA-97-8171	14	2	2	47	8
TCGA-97-8172	167	52	8	72	32
TCGA-97-8174	91	31	35	56	0
TCGA-97-8175	19	0	5	12	5
TCGA-97-8176	52	17	64	36	29
TCGA-97-8177	2	2	8	16	20
TCGA-97-8179	147	25	16	10	11
TCGA-97-8547	2	3	21	37	8
TCGA-97-8552	7	1	2	16	3
TCGA-97-A4LX	146	26	8	5	34
TCGA-97-A4M0	252	73	85	19	71
TCGA-97-A4M1	7	3	15	30	0
TCGA-97-A4M2	13	0	11	8	0
TCGA-97-A4M3	138	42	36	28	7
TCGA-97-A4M5	0	9	155	15	14
TCGA-97-A4M6	6	0	6	13	17
TCGA-97-A4M7	243	77	20	29	16
TCGA-99-7458	353	104	24	40	73
TCGA-99-8025	220	67	181	91	46
TCGA-99-8028	389	94	14	19	29
TCGA-99-8032	283	88	44	69	8
TCGA-99-8033	102	32	17	36	36
TCGA-99-AA5R	45	12	1	0	15
TCGA-J2-8192	20	0	12	43	17
TCGA-J2-8194	81	18	12	55	26
TCGA-J2-A4AD	123	22	186	32	57
TCGA-J2-A4AE	11	0	16	26	9
TCGA-J2-A4AG	49	15	10	40	0
TCGA-L4-A4E5	253	77	18	27	46
TCGA-L4-A4E6	7	5	7	2	0
TCGA-L9-A443	176	47	19	19	46
TCGA-L9-A444	467	137	34	42	21
TCGA-L9-A50W	8	1	9	7	11
TCGA-L9-A5IP	209	64	28	26	27
TCGA-L9-A743	44	23	76	10	16
TCGA-L9-A7SV	1365	495	77	92	0
TCGA-L9-A8F4	613	140	93	45	82
TCGA-MN-A4N1	327	98	44	77	43
TCGA-MN-A4N4	994	297	472	68	49
TCGA-MN-A4N5	299	104	58	41	63
TCGA-MP-A4SV	144	42	164	39	52
TCGA-MP-A4SW	9	3	14	54	7
TCGA-MP-A4SY	93	12	32	37	44
TCGA-MP-A4T4	241	102	41	37	65
TCGA-MP-A4T6	9	1	28	38	18
TCGA-MP-A4T7	86	35	8	24	7
TCGA-MP-A4T8	44	30	11	27	38
TCGA-MP-A4T9	11	5	12	6	12
TCGA-MP-A4TA	213	66	38	58	81
TCGA-MP-A4TC	185	60	35	25	22
TCGA-MP-A4TD	41	14	4	29	14
TCGA-MP-A4TE	65	24	5	80	0
TCGA-MP-A4TF	329	89	34	37	59
TCGA-MP-A4TH	67	5	4	36	28
TCGA-MP-A4TI	51	22	179	19	47
TCGA-MP-A4TJ	45	12	1	28	29
TCGA-MP-A4TK	239	71	77	16	41
TCGA-MP-A5C7	34	6	4	31	22
TCGA-NJ-A4YF	542	146	41	41	14
TCGA-NJ-A4YG	66	18	54	51	10
TCGA-NJ-A4YI	287	121	37	61	53
TCGA-NJ-A4YP	130	36	472	3	51
TCGA-NJ-A4YQ	865	285	36	55	152
TCGA-NJ-A55A	88	22	10	16	11
TCGA-NJ-A55O	118	23	12	13	0
TCGA-NJ-A55R	197	44	18	22	45
TCGA-NJ-A7XG	13	2	0	27	0
TCGA-O1-A52J	83	50	15	35	30
TCGA-S2-AA1A	94	25	7	18	0
