Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-49-6743	3.19E+00	1.46E+00	1.96E+00	1.65E+00	3.13E+00
TCGA-49-6744	1.46E+00	9.95E-01	5.40E-01	9.20E-01	1.20E+00
TCGA-49-6745	5.19E-01	3.46E-01	1.10E+00	1.06E+00	1.08E+00
TCGA-49-6761	1.85E+00	1.52E+00	1.19E+00	9.70E-01	1.48E+00
TCGA-49-6767	2.40E+00	1.37E+00	8.78E-01	1.12E+00	1.82E+00
TCGA-49-AAQV	6.00E-01	1.28E-01	6.31E-01	7.51E-01	5.25E-01
TCGA-49-AAR0	1.05E+00	5.18E-01	7.36E-01	9.15E-01	1.14E+00
TCGA-49-AAR2	1.91E+00	1.24E+00	6.27E-01	9.88E-01	1.11E+00
TCGA-49-AAR3	1.43E+00	6.02E-01	5.26E-01	1.04E+00	1.47E+00
TCGA-49-AAR4	2.33E+00	1.33E+00	1.59E+00	9.96E-01	1.85E+00
TCGA-49-AAR9	2.44E+00	1.39E+00	9.93E-01	1.68E+00	1.95E+00
TCGA-49-AARE	4.16E+00	2.53E+00	1.77E+00	2.34E+00	3.98E+00
TCGA-49-AARN	3.57E+00	1.29E+00	3.06E+00	9.24E+00	1.16E+01
TCGA-49-AARO	2.04E+00	1.67E+00	8.66E-01	5.66E-01	1.03E+00
TCGA-49-AARQ	2.86E+00	1.92E+00	1.67E+00	1.17E+00	2.00E+00
TCGA-49-AARR	1.20E-01	0.00E+00	2.00E-02	1.26E-01	6.87E-02
TCGA-4B-A93V	1.23E+00	7.43E-01	6.06E-01	7.16E-01	1.01E+00
TCGA-50-5044	5.34E-01	4.52E-01	8.73E-01	5.97E-01	8.07E-01
TCGA-50-5045	1.59E+00	1.23E+00	6.11E-01	5.03E-01	9.79E-01
TCGA-50-5049	4.04E+00	2.26E+00	9.40E-01	1.37E+00	3.88E+00
TCGA-50-5051	1.09E+00	6.33E-01	4.66E-01	8.90E-01	9.89E-01
TCGA-50-5055	7.44E-02	0.00E+00	2.21E-01	3.96E-01	3.45E-01
TCGA-50-5066	2.77E+00	1.40E+00	1.16E+00	1.72E+00	2.82E+00
TCGA-50-5068	9.27E-01	4.11E-01	4.18E-01	8.94E-01	1.03E+00
TCGA-50-5072	1.27E+00	8.43E-01	7.39E-01	8.87E-01	1.05E+00
TCGA-50-5930	3.46E+00	2.39E+00	1.03E+00	1.34E+00	2.70E+00
TCGA-50-5931	2.23E+00	1.18E+00	7.66E-01	1.32E+00	2.27E+00
