NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	169.494	62.33	25.812	47.884	0.432	0.787	50000.0
2	169.837	62.528	25.915	48.145	0.436	0.783	90000.0
3	166.582	61.23	24.956	47.145	0.429	0.791	100000.0
4	168.6	61.992	25.915	47.813	0.427	0.788	50000.0
5	168.871	61.333	25.734	47.345	0.423	0.793	60000.0
6	168.02	61.485	25.768	47.661	0.426	0.788	130000.0
7	169.413	61.987	25.883	47.92	0.433	0.786	130000.0
8	169.433	62.417	25.808	47.892	0.436	0.786	100000.0
9	168.833	61.807	25.911	47.771	0.428	0.788	50000.0
10	168.87	62.016	25.833	47.97	0.43	0.785	70000.0
11	169.237	62.117	25.856	47.994	0.434	0.784	70000.0
12	170.794	62.143	26.15	47.975	0.431	0.788	60000.0
13	169.585	62.209	25.926	47.959	0.429	0.786	70000.0
14	168.709	61.912	25.706	47.542	0.432	0.788	50000.0
15	169.562	61.703	25.817	47.479	0.425	0.792	60000.0
16	168.013	61.853	25.684	47.738	0.432	0.786	100000.0
17	168.747	61.96	25.73	47.923	0.43	0.786	70000.0
18	168.991	61.84	25.841	47.746	0.429	0.787	50000.0
19	169.461	61.872	25.787	47.719	0.426	0.789	90000.0
20	168.602	61.813	25.825	47.736	0.429	0.789	90000.0
21	168.786	62.048	25.801	47.805	0.431	0.787	80000.0
22	167.978	61.953	25.534	47.49	0.433	0.789	110000.0
23	169.376	62.547	25.977	48.271	0.439	0.784	40000.0
24	168.046	61.427	25.831	47.724	0.425	0.789	130000.0
25	169.07	62.109	25.842	47.91	0.431	0.787	60000.0
26	169.081	61.909	25.971	47.876	0.426	0.788	70000.0
27	168.496	62.008	25.774	47.91	0.432	0.786	50000.0
28	169.828	62.037	25.906	47.89	0.43	0.788	80000.0
29	168.927	61.729	25.819	47.65	0.427	0.789	60000.0
30	169.749	61.97	26.112	48.043	0.427	0.786	70000.0
31	168.281	61.496	25.746	47.509	0.427	0.79	50000.0
32	168.098	61.804	25.554	47.601	0.431	0.788	60000.0
33	168.715	61.512	25.775	47.644	0.427	0.788	90000.0
34	167.284	61.651	25.524	47.361	0.436	0.79	60000.0
35	168.897	62.11	25.652	47.716	0.433	0.787	70000.0
36	168.855	61.608	25.998	47.69	0.433	0.789	50000.0
37	169.098	62.231	25.817	48.092	0.437	0.783	60000.0
38	168.165	62.147	25.693	47.885	0.433	0.785	60000.0
39	168.817	62.295	25.817	48.122	0.435	0.783	90000.0
40	169.606	62.086	25.935	47.866	0.433	0.786	40000.0
41	170.029	62.274	25.998	48.164	0.43	0.784	60000.0
42	168.441	62.25	25.744	48.007	0.435	0.784	80000.0
43	170.497	62.474	26.113	48.263	0.435	0.782	70000.0
44	169.604	62.046	26.012	47.937	0.431	0.787	80000.0
45	169.275	62.46	25.908	48.091	0.434	0.784	110000.0
46	169.436	62.028	25.787	47.721	0.433	0.789	70000.0
47	169.178	62.501	25.944	48.248	0.437	0.782	70000.0
48	169.124	62.277	25.896	48.143	0.435	0.783	70000.0
49	168.795	62.042	25.396	47.62	0.44	0.788	40000.0
50	167.808	61.768	25.746	47.797	0.427	0.788	60000.0
51	169.157	62.219	25.849	48.008	0.437	0.783	130000.0
52	169.292	62.35	25.722	47.962	0.433	0.784	50000.0
53	170.011	61.94	26.102	47.813	0.424	0.788	100000.0
54	169.743	62.005	26.09	48.016	0.429	0.786	90000.0
55	168.629	61.76	25.693	47.606	0.427	0.789	60000.0
56	168.603	61.712	25.706	47.497	0.43	0.79	70000.0
57	169.174	62.464	25.825	48.062	0.439	0.783	60000.0
58	168.307	61.888	25.714	47.781	0.429	0.788	60000.0
59	168.476	61.446	25.702	47.594	0.425	0.788	120000.0
60	169.118	62.22	25.93	48.155	0.434	0.784	40000.0
61	170.098	62.218	26.106	48.21	0.429	0.785	60000.0
62	168.772	62.004	25.81	47.862	0.436	0.786	70000.0
63	169.314	61.925	25.917	47.753	0.428	0.789	100000.0
64	170.329	62.447	25.99	48.093	0.435	0.785	80000.0
65	169.796	62.217	25.799	48.129	0.43	0.783	50000.0
66	168.386	61.993	25.711	47.912	0.436	0.784	70000.0
67	168.852	62.087	25.379	47.547	0.437	0.788	100000.0
68	169.597	61.962	26.017	47.955	0.427	0.786	80000.0
69	168.743	62.086	25.674	47.776	0.432	0.787	70000.0
70	169.123	62.147	25.627	47.815	0.432	0.786	30000.0
71	169.162	62.0	25.775	47.761	0.431	0.787	70000.0
72	168.609	61.949	25.642	47.701	0.431	0.787	40000.0
73	168.694	61.426	25.62	47.54	0.424	0.791	80000.0
74	168.257	61.864	25.644	47.67	0.431	0.788	70000.0
75	168.695	61.941	25.792	47.886	0.431	0.785	90000.0
76	168.649	62.0	25.754	47.845	0.433	0.786	60000.0
77	169.129	61.921	25.943	47.863	0.428	0.788	70000.0
78	169.365	61.741	25.857	47.751	0.427	0.789	80000.0
79	167.349	61.521	25.358	47.206	0.429	0.792	100000.0
80	168.381	61.732	25.684	47.68	0.428	0.787	50000.0
81	169.567	62.295	26.065	48.007	0.433	0.786	80000.0
82	168.543	61.861	25.835	47.571	0.433	0.788	30000.0
83	169.048	61.627	25.586	47.452	0.424	0.791	70000.0
84	169.873	62.274	25.976	48.034	0.43	0.785	60000.0
85	168.993	62.145	25.912	48.039	0.433	0.785	50000.0
86	169.443	62.012	26.038	47.981	0.429	0.787	60000.0
87	166.931	61.492	25.373	47.371	0.432	0.789	70000.0
88	169.094	61.942	25.875	47.733	0.431	0.789	80000.0
89	168.025	61.891	25.722	47.864	0.43	0.786	70000.0
90	169.143	62.201	25.777	47.801	0.433	0.786	70000.0
91	169.822	62.249	26.004	47.934	0.432	0.787	40000.0
92	168.629	61.912	25.77	47.843	0.428	0.787	80000.0
93	168.099	61.935	25.784	48.049	0.431	0.784	70000.0
94	168.54	61.87	25.815	47.792	0.427	0.789	70000.0
95	169.595	62.298	26.002	48.009	0.431	0.786	50000.0
96	169.235	61.926	25.771	47.561	0.426	0.792	40000.0
97	169.527	62.365	25.932	48.11	0.431	0.785	90000.0
98	168.931	61.674	25.79	47.746	0.426	0.79	70000.0
99	168.88	62.037	25.859	47.919	0.433	0.786	60000.0
100	168.28	61.9	25.613	47.628	0.428	0.79	60000.0
