NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	173.983	63.7	26.386	48.701	0.45	0.778	40000.0
2	173.846	63.636	26.486	48.904	0.449	0.775	50000.0
3	171.915	62.517	26.101	48.248	0.443	0.781	20000.0
4	172.695	63.376	26.47	48.732	0.447	0.778	40000.0
5	173.111	62.638	26.337	48.258	0.44	0.783	40000.0
6	172.574	62.768	26.387	48.489	0.441	0.78	60000.0
7	173.94	63.568	26.565	49.004	0.452	0.774	60000.0
8	173.633	63.815	26.357	48.786	0.453	0.777	50000.0
9	172.771	63.028	26.469	48.594	0.444	0.78	60000.0
10	172.954	63.31	26.375	48.81	0.449	0.776	60000.0
11	173.557	63.528	26.41	48.823	0.452	0.775	40000.0
12	175.046	63.417	26.746	48.857	0.447	0.778	60000.0
13	173.732	63.534	26.527	48.863	0.447	0.776	30000.0
14	173.34	63.425	26.301	48.399	0.45	0.779	80000.0
15	173.689	63.18	26.42	48.431	0.446	0.782	50000.0
16	171.905	63.138	26.31	48.606	0.448	0.778	50000.0
17	173.185	63.392	26.311	48.74	0.448	0.777	60000.0
18	172.833	63.149	26.29	48.413	0.448	0.78	40000.0
19	173.491	63.098	26.357	48.515	0.442	0.781	40000.0
20	173.221	63.559	26.418	48.663	0.453	0.779	60000.0
21	173.108	63.335	26.451	48.733	0.447	0.778	30000.0
22	173.564	63.869	26.454	48.928	0.451	0.775	40000.0
23	173.581	63.84	26.513	49.063	0.457	0.774	40000.0
24	171.976	62.975	26.37	48.616	0.445	0.78	50000.0
25	173.98	63.506	26.52	48.819	0.448	0.777	40000.0
26	173.563	63.403	26.592	48.859	0.447	0.779	30000.0
27	172.703	63.276	26.312	48.597	0.448	0.78	60000.0
28	173.791	63.478	26.487	48.833	0.449	0.777	90000.0
29	173.154	63.125	26.419	48.663	0.446	0.778	50000.0
30	173.572	63.391	26.616	48.937	0.445	0.777	50000.0
31	172.576	63.015	26.355	48.486	0.446	0.78	40000.0
32	172.526	63.142	26.167	48.455	0.445	0.78	50000.0
33	172.458	62.775	26.269	48.352	0.445	0.781	50000.0
34	172.187	63.332	26.315	48.538	0.452	0.779	50000.0
35	173.376	63.534	26.366	48.758	0.45	0.776	40000.0
36	172.928	63.008	26.569	48.595	0.453	0.779	40000.0
37	173.276	63.586	26.35	48.836	0.454	0.775	50000.0
