Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-86-8674	225	78	55	28
TCGA-86-A456	250	91	52	61
TCGA-86-A4JF	177	142	162	1173
TCGA-86-A4P7	16	0	32	37
TCGA-86-A4P8	1	0	0	1
TCGA-91-6828	395	130	77	100
TCGA-91-6829	471	143	89	120
TCGA-91-6830	26	39	274	7
TCGA-91-6831	199	40	21	86
TCGA-91-6835	47	10	25	34
TCGA-91-6836	354	171	40	90
TCGA-91-6840	15	36	95	32
TCGA-91-6847	10	21	19	72
TCGA-91-6848	413	144	144	84
TCGA-91-6849	86	34	14	23
TCGA-91-7771	123	29	41	58
TCGA-91-8496	2	2	4	34
TCGA-91-8497	13	3	6	34
TCGA-91-8499	146	45	132	74
TCGA-91-A4BC	362	91	34	76
TCGA-91-A4BD	0	0	3	24
TCGA-93-7347	78	27	15	26
TCGA-93-7348	91	27	44	109
TCGA-93-8067	29	33	578	35
TCGA-93-A4JN	16	8	20	54
TCGA-93-A4JO	15	1	18	32
TCGA-93-A4JP	17	2	31	33
TCGA-93-A4JQ	31	0	80	34
TCGA-95-7039	1016	340	114	150
TCGA-95-7043	867	286	89	115
TCGA-95-7562	315	93	12	46
TCGA-95-7567	260	147	11	729
TCGA-95-7944	24	7	273	5
TCGA-95-7947	254	42	288	83
TCGA-95-7948	0	1	165	18
TCGA-95-8039	22	13	27	56
TCGA-95-8494	0	3	74	56
TCGA-95-A4VK	182	54	14	68
TCGA-95-A4VN	411	92	58	31
TCGA-95-A4VP	93	24	5	39
TCGA-97-7546	215	71	21	48
TCGA-97-7547	91	32	72	39
TCGA-97-7552	7	4	0	43
TCGA-97-7553	13	5	3	30
TCGA-97-7554	382	81	32	79
TCGA-97-7937	303	125	40	96
TCGA-97-7938	274	102	67	63
TCGA-97-7941	55	12	20	36
TCGA-97-8171	11	2	1	59
TCGA-97-8172	171	53	8	99
TCGA-97-8174	85	31	31	66
TCGA-97-8175	20	0	5	16
TCGA-97-8176	58	18	67	55
TCGA-97-8177	7	1	10	30
TCGA-97-8179	152	27	17	13
TCGA-97-8547	0	4	19	48
TCGA-97-8552	6	1	2	20
TCGA-97-A4LX	164	28	12	15
TCGA-97-A4M0	282	78	97	43
TCGA-97-A4M1	4	3	13	35
TCGA-97-A4M2	13	0	10	9
TCGA-97-A4M3	137	44	35	35
TCGA-97-A4M5	1	9	161	22
TCGA-97-A4M6	9	0	8	25
TCGA-97-A4M7	247	79	21	38
TCGA-99-7458	384	110	31	69
TCGA-99-8025	224	70	184	127
TCGA-99-8028	403	99	17	26
TCGA-99-8032	278	89	42	83
TCGA-99-8033	112	34	20	57
TCGA-99-AA5R	53	13	3	4
TCGA-J2-8192	21	1	12	58
TCGA-J2-8194	84	18	13	77
TCGA-J2-A4AD	140	23	199	58
TCGA-J2-A4AE	10	0	16	36
TCGA-J2-A4AG	43	15	8	48
TCGA-L4-A4E5	272	82	22	45
TCGA-L4-A4E6	7	6	6	2
TCGA-L9-A443	197	49	25	36
TCGA-L9-A444	474	141	36	50
TCGA-L9-A50W	11	0	11	14
TCGA-L9-A5IP	219	67	30	38
TCGA-L9-A743	49	24	79	17
TCGA-L9-A7SV	1359	509	76	85
TCGA-L9-A8F4	652	147	103	71
TCGA-MN-A4N1	337	101	46	105
TCGA-MN-A4N4	1012	309	482	77
TCGA-MN-A4N5	323	109	66	67
TCGA-MP-A4SV	159	44	175	63
TCGA-MP-A4SW	6	4	12	65
TCGA-MP-A4SY	105	13	37	63
TCGA-MP-A4T4	267	107	48	64
TCGA-MP-A4T6	10	1	28	55
TCGA-MP-A4T7	86	35	8	31
TCGA-MP-A4T8	54	32	15	49
TCGA-MP-A4T9	15	5	14	12
TCGA-MP-A4TA	241	69	46	100
TCGA-MP-A4TC	193	62	37	35
TCGA-MP-A4TD	42	14	5	41
TCGA-MP-A4TE	54	24	2	94
TCGA-MP-A4TF	352	94	40	62
TCGA-MP-A4TH	74	5	5	56
TCGA-MP-A4TI	62	23	196	37
TCGA-MP-A4TJ	53	12	3	47
TCGA-MP-A4TK	257	74	84	29
TCGA-MP-A5C7	38	6	5	48
TCGA-NJ-A4YF	544	152	41	47
TCGA-NJ-A4YG	64	18	52	65
TCGA-NJ-A4YI	301	126	41	91
TCGA-NJ-A4YP	146	38	500	8
TCGA-NJ-A4YQ	940	301	51	101
TCGA-NJ-A55A	91	23	11	22
TCGA-NJ-A55O	118	24	12	12
TCGA-NJ-A55R	218	47	22	39
TCGA-NJ-A7XG	9	2	0	31
TCGA-O1-A52J	91	52	17	53
TCGA-S2-AA1A	92	25	6	21
