Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-97-7941	1.04E+00	6.26E-01	6.13E-01	8.02E-01
TCGA-97-8171	6.82E-01	2.35E-01	2.27E-01	6.55E-01
TCGA-97-8172	1.60E+00	8.87E-01	4.52E-01	1.37E+00
TCGA-97-8174	1.37E+00	7.53E-01	8.86E-01	1.12E+00
TCGA-97-8175	5.06E-01	0.00E+00	2.95E-01	6.05E-01
TCGA-97-8176	1.09E+00	6.05E-01	8.52E-01	8.46E-01
TCGA-97-8177	5.30E-01	1.83E-01	3.54E-01	6.12E-01
TCGA-97-8179	1.17E+00	7.59E-01	5.37E-01	7.57E-01
TCGA-97-8547	2.86E-01	2.77E-01	5.64E-01	5.56E-01
TCGA-97-8552	5.16E-01	1.78E-01	2.51E-01	4.80E-01
TCGA-97-A4LX	1.09E+00	7.44E-01	4.14E-01	9.06E-01
TCGA-97-A4M0	2.31E+00	1.45E+00	1.27E+00	1.54E+00
TCGA-97-A4M1	4.43E-01	2.29E-01	4.05E-01	4.98E-01
TCGA-97-A4M2	4.20E-01	9.25E-02	3.37E-01	4.52E-01
TCGA-97-A4M3	1.44E+00	8.41E-01	6.74E-01	9.33E-01
TCGA-97-A4M5	4.90E-01	3.75E-01	9.60E-01	8.28E-01
TCGA-97-A4M6	4.26E-01	0.00E+00	3.16E-01	4.95E-01
TCGA-97-A4M7	1.61E+00	1.09E+00	6.22E-01	1.33E+00
TCGA-99-7458	2.10E+00	1.40E+00	8.04E-01	1.76E+00
TCGA-99-8025	1.90E+00	1.11E+00	1.53E+00	1.69E+00
TCGA-99-8028	1.89E+00	1.51E+00	6.60E-01	1.09E+00
TCGA-99-8032	1.92E+00	1.31E+00	9.58E-01	1.41E+00
TCGA-99-8033	1.45E+00	8.13E-01	6.41E-01	1.25E+00
TCGA-99-AA5R	6.47E-01	4.31E-01	2.06E-01	4.81E-01
TCGA-J2-8192	8.27E-01	1.30E-01	6.00E-01	8.38E-01
TCGA-J2-8194	1.17E+00	5.90E-01	5.25E-01	1.06E+00
TCGA-J2-A4AD	1.48E+00	6.56E-01	1.48E+00	1.44E+00
TCGA-J2-A4AE	5.32E-01	0.00E+00	4.90E-01	6.25E-01
TCGA-J2-A4AG	8.99E-01	5.62E-01	4.32E-01	8.49E-01
TCGA-L4-A4E5	1.70E+00	1.20E+00	6.29E-01	1.28E+00
TCGA-L4-A4E6	3.01E-01	2.04E-01	2.74E-01	1.79E-01
TCGA-L9-A443	1.57E+00	9.51E-01	6.70E-01	1.35E+00
TCGA-L9-A444	2.09E+00	1.48E+00	9.04E-01	1.47E+00
TCGA-L9-A50W	4.31E-01	1.15E-01	3.46E-01	4.48E-01
TCGA-L9-A5IP	1.59E+00	1.11E+00	7.93E-01	1.18E+00
TCGA-L9-A743	1.21E+00	5.82E-01	7.21E-01	9.06E-01
TCGA-L9-A7SV	4.11E+00	3.27E+00	1.38E+00	2.04E+00
TCGA-L9-A8F4	2.77E+00	1.82E+00	1.45E+00	2.10E+00
TCGA-MN-A4N1	1.97E+00	1.34E+00	9.44E-01	1.68E+00
TCGA-MN-A4N4	3.34E+00	2.33E+00	2.45E+00	2.33E+00
TCGA-MN-A4N5	2.18E+00	1.34E+00	1.01E+00	1.65E+00
TCGA-MP-A4SV	1.80E+00	9.62E-01	1.29E+00	1.44E+00
TCGA-MP-A4SW	7.17E-01	2.93E-01	5.50E-01	7.62E-01
TCGA-MP-A4SY	1.22E+00	5.30E-01	7.15E-01	1.05E+00
TCGA-MP-A4T4	2.01E+00	1.29E+00	8.82E-01	1.41E+00
TCGA-MP-A4T6	5.13E-01	1.48E-01	5.94E-01	7.76E-01
TCGA-MP-A4T7	1.08E+00	7.56E-01	4.24E-01	8.88E-01
TCGA-MP-A4T8	9.00E-01	5.66E-01	4.84E-01	9.09E-01
TCGA-MP-A4T9	6.22E-01	2.94E-01	3.82E-01	5.70E-01
TCGA-MP-A4TA	1.86E+00	1.07E+00	9.69E-01	1.49E+00
TCGA-MP-A4TC	1.63E+00	1.15E+00	6.99E-01	1.13E+00
TCGA-MP-A4TD	9.26E-01	4.50E-01	3.24E-01	7.65E-01
TCGA-MP-A4TE	1.28E+00	6.31E-01	2.74E-01	1.13E+00
TCGA-MP-A4TF	1.98E+00	1.23E+00	8.70E-01	1.66E+00
TCGA-MP-A4TH	9.22E-01	3.05E-01	3.51E-01	8.82E-01
TCGA-MP-A4TI	1.21E+00	7.10E-01	1.21E+00	1.24E+00
TCGA-MP-A4TJ	9.43E-01	4.45E-01	3.38E-01	9.66E-01
TCGA-MP-A4TK	1.64E+00	1.19E+00	1.01E+00	1.26E+00
TCGA-MP-A5C7	7.12E-01	3.59E-01	2.96E-01	7.43E-01
TCGA-NJ-A4YF	2.50E+00	1.87E+00	9.39E-01	1.60E+00
TCGA-NJ-A4YG	1.12E+00	6.25E-01	7.45E-01	1.02E+00
TCGA-NJ-A4YI	2.23E+00	1.32E+00	8.05E-01	1.50E+00
TCGA-NJ-A4YP	1.63E+00	9.14E-01	1.74E+00	6.61E-01
TCGA-NJ-A4YQ	3.10E+00	2.31E+00	1.08E+00	2.36E+00
TCGA-NJ-A55A	1.12E+00	6.05E-01	4.11E-01	8.29E-01
TCGA-NJ-A55O	9.21E-01	6.92E-01	4.38E-01	6.55E-01
TCGA-NJ-A55R	1.47E+00	9.11E-01	6.22E-01	1.22E+00
TCGA-NJ-A7XG	5.01E-01	1.72E-01	1.37E-01	4.96E-01
TCGA-O1-A52J	1.21E+00	7.50E-01	5.83E-01	1.07E+00
TCGA-S2-AA1A	9.80E-01	7.41E-01	3.80E-01	8.06E-01
