Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-55-7227	1.10E+00	6.72E-01	4.76E-01	1.07E+00
TCGA-55-7281	2.71E+00	1.96E+00	1.22E+00	1.95E+00
TCGA-55-7283	2.18E+00	1.20E+00	1.51E+00	2.21E+00
TCGA-55-7284	2.18E-01	0.00E+00	1.52E-01	2.61E-01
TCGA-55-7570	2.42E+00	1.51E+00	1.65E+00	1.93E+00
TCGA-55-7573	7.01E-01	3.19E-01	4.11E-01	6.07E-01
TCGA-55-7574	2.14E+00	1.02E+00	1.89E+00	1.54E+00
TCGA-55-7576	2.89E+00	1.57E+00	1.28E+00	2.48E+00
TCGA-55-7724	1.62E+00	7.31E-01	8.81E-01	1.55E+00
TCGA-55-7725	1.02E+00	7.58E-01	3.81E-01	8.14E-01
TCGA-55-7726	6.70E-01	3.14E-01	8.14E-01	7.97E-01
TCGA-55-7727	1.30E+00	7.17E-01	1.22E+00	1.25E+00
TCGA-55-7728	8.48E-01	6.08E-01	3.57E-01	6.71E-01
TCGA-55-7815	1.32E+00	6.73E-01	5.28E-01	1.05E+00
TCGA-55-7816	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA-55-7903	1.04E+00	7.26E-01	8.06E-01	9.82E-01
TCGA-55-7907	2.92E+00	2.10E+00	1.74E+00	1.97E+00
TCGA-55-7910	1.48E+00	1.11E+00	6.61E-01	1.23E+00
TCGA-55-7911	1.27E+00	7.73E-01	7.95E-01	1.29E+00
TCGA-55-7913	1.81E+00	1.10E+00	9.83E-01	1.47E+00
TCGA-55-7914	1.14E+00	6.25E-01	6.22E-01	1.03E+00
TCGA-55-7994	3.61E+00	2.87E+00	1.79E+00	2.86E+00
TCGA-55-7995	2.29E+00	1.44E+00	1.35E+00	1.96E+00
TCGA-55-8085	1.44E+00	8.21E-01	1.23E+00	1.24E+00
TCGA-55-8087	3.42E-01	1.49E-01	4.63E-01	5.05E-01
TCGA-55-8089	2.87E+00	2.08E+00	2.65E+00	1.90E+00
TCGA-55-8090	9.99E-01	5.38E-01	3.73E-01	8.67E-01
TCGA-55-8091	4.41E-01	1.00E-02	7.57E-02	4.41E-01
TCGA-55-8092	2.13E+00	1.41E+00	1.65E+00	1.95E+00
TCGA-55-8094	2.04E+00	1.38E+00	7.65E-01	1.55E+00
TCGA-55-8096	9.83E-01	5.46E-01	6.24E-01	9.46E-01
TCGA-55-8097	9.23E-01	5.42E-01	5.20E-01	8.44E-01
TCGA-55-8203	1.99E+00	1.27E+00	6.60E-01	1.44E+00
TCGA-55-8204	1.42E+00	5.24E-01	1.22E+00	1.20E+00
TCGA-55-8205	2.19E+00	1.14E+00	1.67E+00	1.49E+00
TCGA-55-8206	4.70E-01	1.58E-01	3.60E-01	5.27E-01
TCGA-55-8207	1.56E+00	9.07E-01	6.61E-01	1.28E+00
TCGA-55-8208	1.75E+00	6.73E-01	1.44E+00	1.53E+00
TCGA-55-8299	1.97E+00	1.30E+00	8.30E-01	1.54E+00
TCGA-55-8301	1.72E+00	1.06E+00	8.32E-01	1.43E+00
TCGA-55-8302	2.45E+00	1.62E+00	1.02E+00	1.69E+00
TCGA-55-8505	4.08E-01	4.56E-02	4.54E-01	5.42E-01
TCGA-55-8506	4.25E+00	2.75E+00	1.30E+00	4.04E+00
TCGA-55-8507	3.26E+00	2.44E+00	1.33E+00	2.25E+00
TCGA-55-8508	1.43E+00	8.49E-01	6.50E-01	1.11E+00
TCGA-55-8510	1.66E+00	1.25E+00	9.09E-01	1.21E+00
TCGA-55-8511	2.44E+00	1.55E+00	1.30E+00	1.71E+00
TCGA-55-8512	6.38E-01	3.25E-01	2.89E-01	5.24E-01
TCGA-55-8513	2.78E-02	0.00E+00	2.97E-02	3.62E-02
TCGA-55-8514	1.48E+00	1.08E+00	6.09E-01	1.18E+00
TCGA-55-8614	1.33E+00	5.46E-01	7.84E-01	1.24E+00
TCGA-55-8615	1.02E+00	4.62E-01	4.16E-01	1.04E+00
TCGA-55-8616	2.16E+00	1.74E+00	7.88E-01	1.41E+00
TCGA-55-8619	2.69E-01	1.07E-01	1.39E-01	2.61E-01
TCGA-55-8620	2.04E+00	1.39E+00	7.70E-01	1.58E+00
TCGA-55-8621	9.21E-01	4.04E-01	4.47E-01	8.48E-01
TCGA-55-A48X	1.82E+00	1.21E+00	9.91E-01	1.27E+00
TCGA-55-A48Y	6.75E-01	4.24E-01	1.29E+00	1.14E+00
TCGA-55-A48Z	6.69E-01	2.11E-01	3.47E-01	6.59E-01
TCGA-55-A490	3.55E+00	2.79E+00	1.53E+00	1.88E+00
TCGA-55-A491	1.99E+00	1.36E+00	8.82E-01	1.43E+00
TCGA-55-A492	1.76E+00	1.01E+00	6.75E-01	1.54E+00
TCGA-55-A493	1.35E+00	6.88E-01	9.74E-01	1.08E+00
TCGA-55-A494	1.37E+00	8.00E-01	6.48E-01	1.08E+00
TCGA-55-A4DF	2.29E+00	1.11E+00	2.34E+00	2.04E+00
TCGA-55-A4DG	2.32E+00	2.03E+00	9.03E-01	1.68E+00
TCGA-55-A57B	5.18E-01	2.15E-01	4.75E-01	6.39E-01
