NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	189.973	68.507	29.623	51.835	0.502	0.751	20000.0
2	189.558	68.256	29.556	51.908	0.499	0.749	20000.0
3	188.054	67.712	29.284	51.587	0.498	0.752	30000.0
4	188.809	68.083	29.657	51.882	0.499	0.749	20000.0
5	189.26	67.649	29.533	51.428	0.491	0.757	50000.0
6	188.894	67.931	29.653	51.71	0.497	0.752	20000.0
7	189.974	68.173	29.663	52.0	0.504	0.746	20000.0
8	190.603	68.862	29.754	52.029	0.504	0.751	20000.0
9	189.193	68.174	29.636	51.8	0.497	0.753	30000.0
10	188.942	68.125	29.527	51.921	0.499	0.748	20000.0
11	188.957	68.049	29.461	51.692	0.501	0.749	30000.0
12	190.926	68.397	29.87	51.924	0.5	0.752	40000.0
13	189.622	68.415	29.655	52.023	0.504	0.747	30000.0
14	189.223	67.941	29.557	51.496	0.497	0.752	40000.0
15	190.193	68.037	29.748	51.621	0.494	0.756	20000.0
16	188.089	67.927	29.469	51.732	0.499	0.751	20000.0
17	189.197	68.27	29.551	51.883	0.504	0.749	20000.0
18	189.136	68.219	29.497	51.7	0.501	0.751	30000.0
19	189.547	68.076	29.622	51.69	0.494	0.753	20000.0
20	189.016	68.096	29.661	51.788	0.501	0.752	30000.0
21	189.061	68.093	29.706	51.869	0.496	0.751	20000.0
22	189.827	68.471	29.671	51.986	0.5	0.749	50000.0
23	189.353	68.256	29.651	51.949	0.504	0.75	70000.0
24	187.799	67.682	29.434	51.601	0.494	0.754	30000.0
25	190.316	68.55	29.767	51.978	0.502	0.75	20000.0
26	189.604	67.869	29.673	51.75	0.494	0.754	40000.0
27	189.472	68.197	29.688	51.859	0.502	0.752	40000.0
28	190.285	68.25	29.78	51.913	0.498	0.75	30000.0
29	189.268	67.947	29.66	51.723	0.495	0.752	30000.0
30	189.581	68.333	29.796	52.134	0.5	0.747	20000.0
31	188.893	67.795	29.596	51.513	0.494	0.756	20000.0
