	0	1	2	3
TCGA-05-4244	0.8058281313362062	0.12191378008279169	0.48243293656314995	0.16734098328060384
TCGA-05-4249	1.1715763089049192	0.40438883395293634	0.5765987336575317	0.22769381173102432
TCGA-05-4250	1.1449321882746086	0.6336040970978416	0.5829828112228636	0.5167960617662724
TCGA-05-4382	8.49964280491293	2.578226465067032	0.6600735414768204	0.5585714421427818
TCGA-05-4384	0.39818712206635487	0.08765261131574184	0.30929381999116	0.310346488899178
TCGA-05-4389	0.34840760017582373	1.0814043145343089	0.6668665997899926	0.3647218128855221
TCGA-05-4390	2.674729223921529	0.12026335712943943	0.6366581998698426	0.3625243188387494
TCGA-05-4395	0.7125215068168298	1.302753020454953	0.3807477552232709	0.37958162662758327
TCGA-05-4396	0.9060909449416374	0.1686032216277669	0.4598046779874882	0.4762240096251266
TCGA-05-4397	2.6665144041770175	1.953356652977783	0.7604944153182986	1.0807087169570333
TCGA-05-4398	2.7285780474294676	1.0759443309109102	1.0304141209115785	1.2288643804000505
TCGA-05-4402	0.03359137996901989	1.2400904978136345	0.12139891076009364	0.0
TCGA-05-4403	0.3103836687742002	0.06664730665758666	0.6531924132539352	0.19959228111934937
TCGA-05-4405	1.4687900798380096	0.34694111858805704	0.7422068354784708	0.21156416844706735
TCGA-05-4410	4.446901270102117	1.8180404125056726	0.7291324187777752	1.1327991465731622
TCGA-05-4415	0.9178948504294969	0.04490550095967443	0.2846118593915277	0.262278016425592
TCGA-05-4417	1.2110086939755624	0.05144718650031359	0.3631776380244072	0.30597391262655826
TCGA-05-4418	0.9196948887769699	0.13743073829931787	0.47121899574207293	0.6215961104056495
TCGA-05-4420	1.215404427911869	0.18961961756843287	0.46831506836016745	0.3120610329494681
TCGA-05-4422	0.03354593557745838	0.2423914887550529	0.12115193910747774	0.13396071341877427
TCGA-05-4424	3.0812695228260893	1.643443594198542	0.6708109281357598	0.0
TCGA-05-4425	0.0	0.023659162721048406	0.5395898786194142	0.005457141366287173
TCGA-05-4426	0.027311820748806403	0.064470378252205	0.31640381722375827	0.08333004306839413
TCGA-05-4427	4.149142404060266	0.7244410860066547	0.9229556071521545	1.3075106060169206
TCGA-05-4430	1.1583883305844527	0.22397746081699263	0.3283922616964687	0.17570045934508355
TCGA-05-4432	2.3204019219450083	0.20750855665344614	0.8708189360422437	1.063279788127597
TCGA-05-4433	0.0	0.007721291625549857	0.45832605357650036	0.0
TCGA-05-4434	0.011489267868197539	0.14729508097516794	0.24085444839167552	0.09133095444983011
TCGA-05-5420	0.24606314909526367	0.060269720116489664	0.3828255114881468	0.15618197878363024
TCGA-05-5423	0.5297969233449398	0.2014002302603592	0.47501056495972327	0.1310668297675596
TCGA-05-5425	2.392579681952305	0.48622892620805247	0.7329058017595338	0.4409775151065216
TCGA-05-5428	1.1705984282763555	1.5837426681365308	0.2443144778256069	0.8681852105378424
TCGA-05-5429	0.0	0.0706077573397385	0.4180668172577432	0.012644972395260955
TCGA-05-5715	0.02867665614360383	1.1588690715866288	0.4191783713710577	0.0
TCGA-35-3615	0.2531488098113841	0.5491815567300357	0.2111405469531516	0.3476304952339784
TCGA-35-4122	0.8252534419644282	0.49775886834712135	0.5914930752200181	0.7058163977619214
TCGA-35-4123	1.3590765178711817	0.2107183055513855	0.3642572490900073	0.052730744772654735
TCGA-35-5375	1.2536204929716541	0.44141430182217006	0.8006351597372032	0.7614628135429065
TCGA-38-4625	2.802784656998526	1.6685112133171431	0.18793422991361572	0.34639074778932416
TCGA-38-4626	1.2470279798682917	0.17717569906208505	0.04223125229371984	0.3218187554938556
TCGA-38-4627	0.03275761740962006	0.05155529918775723	0.19269850023475016	0.03297790969266174
TCGA-38-4628	0.21539131354577337	0.24322476959622172	0.4938427836376814	0.12811154735289387
TCGA-38-4629	0.7789675452630336	0.40451254805179887	0.5626558887369156	0.7172134651174299
TCGA-38-4630	0.08111203430132856	0.872572794456291	0.5827075792525902	0.044220565634069946
TCGA-38-4631	3.570833240230991	0.34332406461597886	0.5912322453513983	0.2563764412749101
TCGA-38-4632	2.0002284768009138	0.3194025505321469	0.6189252905186162	1.0215670660869318
TCGA-38-6178	0.09135903539309685	0.11758698005431072	0.2330463364940428	0.28016269213852824
TCGA-38-7271	0.2806436025105263	0.5540405290708265	0.05898118370100304	0.0
TCGA-38-A44F	0.006415840008998783	0.006513282400973575	0.11141315576225083	0.049063053229891275
TCGA-44-2655	0.8875249684716069	0.13707142390196408	0.1145939515220642	0.14363987594506752
TCGA-44-2656	4.118075539716536	0.2392789036633192	1.070865919253805	0.46912505505314656
TCGA-44-2657	1.8464871445414375	0.6831510401198563	0.5838315488262608	0.021582220288560095
TCGA-44-2659	2.019410048374094	0.204171598380281	0.5898252763792253	0.19964173217012013
TCGA-44-2661	0.02551679251128824	0.058905385868783675	0.17051557053101676	0.15647904364447515
TCGA-44-2662	0.23188481213008516	1.9630981621684551	0.1422193042383386	0.08957263913062571
TCGA-44-2665	0.0	0.17961158612338549	0.2705392214060164	0.14321831955576253
TCGA-44-2666	0.0	0.07375490281372932	0.21513780569892418	0.0779295452678671
TCGA-44-2668	1.4448039815840337	0.8276073079699903	0.14569248345613642	0.34841156636358156
TCGA-44-3396	0.24787972783186088	1.1458001797923514	0.5076642421308003	0.31263141944463557
TCGA-44-3398	0.4943096070345955	0.8180739334307159	0.3540207329140926	0.1465044722705048
TCGA-44-3918	4.899552080022809	1.268791784952771	0.5461264919164522	0.0
TCGA-44-3919	0.043847748413660154	0.29587209403759673	0.1829708948131578	0.0
